[3300, 2550]
[paragraph, [280.0, 274.0, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [280.0, 326.5, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [280.0, 379.0, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [280.0, 431.5, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [280.0, 484.0, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [280.0, 536.5, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [280.0, 589.0, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [280.0, 641.5, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [280.0, 694.0, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [280.0, 746.5, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [280.0, 799.0, 1992.0, 52.5], TLrnLmqtRW, 5720118]
[paragraph, [261.0, 892.0, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 944.5, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 997.0, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 1049.5, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 1102.0, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 1154.5, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 1207.0, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 1259.5, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 1312.0, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 1364.5, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 1417.0, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [261.0, 1469.5, 2020.0, 52.5], wAltbxx9Y0, 5720118]
[paragraph, [264.0, 1603.0, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 1655.5, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 1708.0, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 1760.5, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 1813.0, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 1865.5, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 1918.0, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 1970.5, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 2023.0, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 2075.5, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 2128.0, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 2180.5, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 2233.0, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 2285.5, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 2338.0, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 2390.5, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 2443.0, 2014.0, 52.5], SO5evRphfp, 5720118]
[paragraph, [264.0, 2495.5, 2014.0, 52.5], SO5evRphfp, 5720118]
