[789, 571]
[folio, [178.0, 56.0, 177.0, 18.0], DPtIIzgtxt, 5702245]
[paragraph, [41.0, 85.0, 457.0, 18.0], 4kcioP_XRm, 5702245]
[paragraph, [41.0, 103.0, 457.0, 18.0], 4kcioP_XRm, 5702245]
[paragraph, [41.0, 121.0, 457.0, 18.0], 4kcioP_XRm, 5702245]
[paragraph, [38.0, 141.0, 457.0, 18.0], VfX3Uu6MBI, 5702245]
[paragraph, [38.0, 159.0, 457.0, 18.0], VfX3Uu6MBI, 5702245]
[paragraph, [75.0, 186.0, 244.0, 18.0], UvTBWkvUhn, 5702245]
[paragraph, [82.0, 212.0, 120.0, 18.0], shoonya_6s6PPCKMC4YB1N, 5702245]
[paragraph, [81.0, 233.0, 159.0, 18.0], shoonya_2sMR4UH8Q2QAEJ, 5702245]
[paragraph, [80.0, 257.0, 83.0, 18.0], shoonya_1sQEP20FP43250, 5702245]
[paragraph, [80.0, 277.0, 354.0, 18.0], shoonya_5s2GVSN99VU81O, 5702245]
[paragraph, [79.0, 302.0, 202.0, 18.0], shoonya_9sC6BDA939IKW2, 5702245]
[paragraph, [43.0, 322.0, 451.0, 18.0], shoonya_4s8OUG1F3IW8Y9, 5702245]
[paragraph, [43.0, 340.0, 451.0, 18.0], shoonya_4s8OUG1F3IW8Y9, 5702245]
[paragraph, [82.0, 372.0, 103.0, 18.0], shoonya_0sCNCVY8M1NLTG, 5702245]
[paragraph, [44.0, 390.0, 450.0, 18.0], shoonya_3sQI4DQDLRWTIY, 5702245]
[paragraph, [44.0, 408.0, 450.0, 18.0], shoonya_3sQI4DQDLRWTIY, 5702245]
[paragraph, [44.0, 426.0, 450.0, 18.0], shoonya_3sQI4DQDLRWTIY, 5702245]
[paragraph, [83.0, 459.0, 256.0, 18.0], shoonya_7sMLL4J7B7I1ZB, 5702245]
[paragraph, [45.0, 483.0, 448.0, 18.0], shoonya_10sWXZ9VLNLK8M, 5702245]
[paragraph, [45.0, 501.0, 448.0, 18.0], shoonya_10sWXZ9VLNLK8M, 5702245]
[paragraph, [45.0, 519.0, 448.0, 18.0], shoonya_10sWXZ9VLNLK8M, 5702245]
[paragraph, [45.0, 537.0, 448.0, 18.0], shoonya_10sWXZ9VLNLK8M, 5702245]
[paragraph, [45.0, 555.0, 448.0, 18.0], shoonya_10sWXZ9VLNLK8M, 5702245]
[paragraph, [41.0, 571.0, 452.0, 18.0], j88T_9dJva, 5702245]
[paragraph, [41.0, 589.0, 452.0, 18.0], j88T_9dJva, 5702245]
[paragraph, [42.0, 616.0, 455.0, 18.0], HdNkcAt352, 5702245]
[paragraph, [42.0, 634.0, 455.0, 18.0], HdNkcAt352, 5702245]
[paragraph, [42.0, 652.0, 455.0, 18.0], HdNkcAt352, 5702245]
[paragraph, [46.0, 682.0, 449.0, 18.0], shoonya_11s1TKGAZ44GPO, 5702245]
[paragraph, [46.0, 700.0, 449.0, 18.0], shoonya_11s1TKGAZ44GPO, 5702245]
