[720, 504]
[folio, [35.0, 85.0, 136.0, 18.0], DFwtKpC-CJ, 5652393]
[paragraph, [244.0, 110.0, 212.0, 18.0], K7Jfqc1z4H, 5652393]
[paragraph, [244.0, 128.0, 212.0, 18.0], K7Jfqc1z4H, 5652393]
[paragraph, [244.0, 146.0, 212.0, 18.0], K7Jfqc1z4H, 5652393]
[paragraph, [244.0, 164.0, 212.0, 18.0], K7Jfqc1z4H, 5652393]
[paragraph, [244.0, 182.0, 212.0, 18.0], K7Jfqc1z4H, 5652393]
[paragraph, [38.0, 132.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 150.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 168.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 186.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 204.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 222.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 240.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 258.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 276.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 294.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 312.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 330.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 348.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 366.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 384.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 402.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 420.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 438.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 456.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 474.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 492.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [38.0, 510.0, 200.0, 18.0], shoonya_1sJUQ48AF2SI4E, 5652393]
[paragraph, [249.0, 230.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 248.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 266.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 284.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 302.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 320.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 338.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 356.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 374.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 392.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 410.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 428.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 446.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 464.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 482.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 500.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 518.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 536.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 554.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 572.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 590.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [249.0, 608.0, 205.0, 18.0], shoonya_0sM7FIG45PORXY, 5652393]
[paragraph, [39.0, 533.0, 197.0, 18.0], shoonya_2s60D7V0YR5U5X, 5652393]
[paragraph, [39.0, 551.0, 197.0, 18.0], shoonya_2s60D7V0YR5U5X, 5652393]
[paragraph, [39.0, 569.0, 197.0, 18.0], shoonya_2s60D7V0YR5U5X, 5652393]
[paragraph, [39.0, 587.0, 197.0, 18.0], shoonya_2s60D7V0YR5U5X, 5652393]
[paragraph, [39.0, 605.0, 197.0, 18.0], shoonya_2s60D7V0YR5U5X, 5652393]
[footnote, [203.0, 676.0, 95.0, 18.0], shoonya_4s78LCG71W3WUP, 5652393]
