[2806, 1983]
[paragraph, [216.0, 237.0, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 283.5, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 330.0, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 376.5, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 423.0, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 469.5, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 516.0, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 562.5, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 609.0, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 655.5, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 702.0, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 748.5, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 795.0, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 841.5, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 888.0, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 934.5, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 981.0, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [216.0, 1027.5, 1558.0, 46.5], shoonya_0sRR498LZX2O9M, 5682071]
[paragraph, [213.0, 1189.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1235.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1282.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1328.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1375.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1421.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1468.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1514.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1561.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1607.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1654.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1700.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1747.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1793.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1840.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1886.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1933.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 1979.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2026.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2072.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2119.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2165.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2212.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2258.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2305.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2351.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2398.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2444.5, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
[paragraph, [213.0, 2491.0, 1554.0, 46.5], 1EmOEh2LrC, 5682071]
