[792, 498]
[folio, [15.0, 14.0, 105.0, 18.0], KNaVk0YGp5, 6462502]
[folio, [15.0, 32.0, 105.0, 18.0], KNaVk0YGp5, 6462502]
[paragraph, [17.0, 41.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 59.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 77.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 95.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 113.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 131.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 149.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 167.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 185.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 203.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 221.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 239.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [17.0, 257.0, 451.0, 18.0], shoonya_0s0ZPMNSVFI3P9, 6462502]
[paragraph, [16.0, 274.0, 455.0, 18.0], ah36-GXal9, 6462502]
[paragraph, [16.0, 292.0, 455.0, 18.0], ah36-GXal9, 6462502]
[paragraph, [16.0, 310.0, 455.0, 18.0], ah36-GXal9, 6462502]
[paragraph, [16.0, 328.0, 455.0, 18.0], ah36-GXal9, 6462502]
[paragraph, [45.0, 353.0, 428.0, 18.0], vR507NE6NF, 6462502]
[paragraph, [17.0, 376.0, 460.0, 18.0], QLLtV2X4j3, 6462502]
[paragraph, [17.0, 394.0, 460.0, 18.0], QLLtV2X4j3, 6462502]
[paragraph, [17.0, 412.0, 460.0, 18.0], QLLtV2X4j3, 6462502]
[paragraph, [15.0, 427.0, 463.0, 18.0], AEwZ2PN4VO, 6462502]
[paragraph, [15.0, 445.0, 463.0, 18.0], AEwZ2PN4VO, 6462502]
[paragraph, [15.0, 463.0, 463.0, 18.0], AEwZ2PN4VO, 6462502]
[paragraph, [15.0, 481.0, 463.0, 18.0], AEwZ2PN4VO, 6462502]
[paragraph, [15.0, 499.0, 463.0, 18.0], AEwZ2PN4VO, 6462502]
[paragraph, [15.0, 517.0, 463.0, 18.0], AEwZ2PN4VO, 6462502]
[paragraph, [19.0, 526.0, 462.0, 18.0], 4s3CfdeDdF, 6462502]
[paragraph, [19.0, 544.0, 462.0, 18.0], 4s3CfdeDdF, 6462502]
[paragraph, [19.0, 562.0, 462.0, 18.0], 4s3CfdeDdF, 6462502]
[paragraph, [19.0, 580.0, 462.0, 18.0], 4s3CfdeDdF, 6462502]
[paragraph, [19.0, 598.0, 462.0, 18.0], 4s3CfdeDdF, 6462502]
[paragraph, [19.0, 616.0, 462.0, 18.0], 4s3CfdeDdF, 6462502]
[paragraph, [19.0, 634.0, 462.0, 18.0], 4s3CfdeDdF, 6462502]
[paragraph, [9.0, 630.0, 484.0, 18.0], JOY5LqdpiN, 6462502]
[paragraph, [9.0, 648.0, 484.0, 18.0], JOY5LqdpiN, 6462502]
[paragraph, [9.0, 666.0, 484.0, 18.0], JOY5LqdpiN, 6462502]
[paragraph, [9.0, 684.0, 484.0, 18.0], JOY5LqdpiN, 6462502]
[paragraph, [9.0, 702.0, 484.0, 18.0], JOY5LqdpiN, 6462502]
[paragraph, [19.0, 703.0, 475.0, 18.0], ToRj-MlPaW, 6462502]
[paragraph, [19.0, 721.0, 475.0, 18.0], ToRj-MlPaW, 6462502]
[paragraph, [19.0, 739.0, 475.0, 18.0], ToRj-MlPaW, 6462502]
