[1350, 900]
[folio, [528.0, 183.0, 177.0, 18.0], shoonya_2sGL7WAVZVK9BL, 5760737]
[paragraph, [161.0, 227.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 245.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 263.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 281.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 299.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 317.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 335.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 353.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 371.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 389.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 407.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 425.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 443.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 461.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 479.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 497.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 515.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 533.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 551.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 569.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 587.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 605.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 623.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 641.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 659.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 677.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 695.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 713.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 731.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 749.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 767.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 785.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 803.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 821.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 839.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 857.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 875.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [161.0, 893.0, 567.0, 18.0], shoonya_1sTX8VAJB94GTK, 5760737]
[paragraph, [165.0, 929.0, 555.0, 18.0], 5L47wlavyg, 5760737]
[paragraph, [165.0, 947.0, 555.0, 18.0], 5L47wlavyg, 5760737]
[paragraph, [165.0, 965.0, 555.0, 18.0], 5L47wlavyg, 5760737]
[paragraph, [165.0, 983.0, 555.0, 18.0], 5L47wlavyg, 5760737]
[paragraph, [165.0, 1001.0, 555.0, 18.0], 5L47wlavyg, 5760737]
[paragraph, [165.0, 1019.0, 555.0, 18.0], 5L47wlavyg, 5760737]
[section-title, [160.0, 1048.0, 399.0, 30.0], hLrOIJyzJH, 5760737]
[paragraph, [164.0, 1085.0, 556.0, 18.0], gWCfDnmSqa, 5760737]
[paragraph, [164.0, 1103.0, 556.0, 18.0], gWCfDnmSqa, 5760737]
[paragraph, [164.0, 1121.0, 556.0, 18.0], gWCfDnmSqa, 5760737]
