[1246, 909]
[paragraph, [84.0, 84.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 102.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 120.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 138.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 156.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 174.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 192.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 210.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 228.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 246.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 264.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 282.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 300.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 318.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 336.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 354.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 372.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 390.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [84.0, 408.0, 628.0, 18.0], shoonya_0s3H0VACBD86PZ, 5776572]
[paragraph, [85.0, 436.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 454.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 472.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 490.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 508.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 526.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 544.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 562.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 580.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 598.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 616.0, 628.0, 18.0], shoonya_2s9WVS8WM0HQ5X, 5776572]
[paragraph, [85.0, 635.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 653.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 671.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 689.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 707.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 725.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 743.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 761.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 779.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 797.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 815.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 833.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 851.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 869.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 887.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 905.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 923.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 941.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 959.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 977.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 995.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 1013.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 1031.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 1049.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
[paragraph, [85.0, 1067.0, 625.0, 18.0], shoonya_1s8CCO32S1HJM7, 5776572]
