[1754, 1241]
[paragraph, [212.0, 144.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 180.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 216.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 252.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 288.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 324.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 360.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 396.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 432.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 468.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 504.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 540.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 576.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 612.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 648.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 684.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 720.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 756.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 792.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 828.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 864.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 900.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 936.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 972.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1008.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1044.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1080.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1116.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1152.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1188.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1224.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1260.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1296.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1332.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1368.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1404.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1440.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1476.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1512.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
[paragraph, [212.0, 1548.0, 885.0, 36.0], shoonya_0sSABNEP24NHKX, 6470526]
