[1004, 621]
[paragraph, [38.0, 97.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 115.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 133.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 151.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 169.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 187.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 205.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 223.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 241.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 259.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 277.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 295.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 313.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 331.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 349.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 367.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 385.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 403.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 421.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 439.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [38.0, 457.0, 544.0, 18.0], xUHWlf2NkY, 5741253]
[paragraph, [40.0, 490.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 508.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 526.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 544.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 562.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 580.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 598.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 616.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 634.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 652.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 670.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 688.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 706.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 724.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 742.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 760.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 778.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 796.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 814.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 832.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 850.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 868.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 886.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 904.0, 547.0, 18.0], 112XIlER_1, 5741253]
[paragraph, [40.0, 922.0, 547.0, 18.0], 112XIlER_1, 5741253]
