[3508, 2481]
[contact-info, [519.0, 99.0, 1455.0, 52.5], f9nGNUnOgh, 6490859]
[contact-info, [519.0, 151.5, 1455.0, 52.5], f9nGNUnOgh, 6490859]
[contact-info, [519.0, 204.0, 1455.0, 52.5], f9nGNUnOgh, 6490859]
[section-title, [665.0, 581.0, 1091.0, 93.0], UTi8Wp9Uuz, 6490859]
[paragraph, [612.0, 817.0, 1240.0, 52.5], 4Kns8VzZVs, 6490859]
[paragraph, [612.0, 869.5, 1240.0, 52.5], 4Kns8VzZVs, 6490859]
[dateline, [217.0, 1079.0, 568.0, 52.5], vc549SfQAW, 6490859]
[paragraph, [208.0, 1327.0, 485.0, 52.5], bgrhMil_Hp, 6490859]
[paragraph, [192.0, 1452.0, 2114.0, 52.5], pSk0ifO58K, 6490859]
[paragraph, [192.0, 1504.5, 2114.0, 52.5], pSk0ifO58K, 6490859]
[paragraph, [192.0, 1557.0, 2114.0, 52.5], pSk0ifO58K, 6490859]
[paragraph, [192.0, 1609.5, 2114.0, 52.5], pSk0ifO58K, 6490859]
[paragraph, [192.0, 1662.0, 2114.0, 52.5], pSk0ifO58K, 6490859]
[paragraph, [192.0, 1714.5, 2114.0, 52.5], pSk0ifO58K, 6490859]
[ordered-list, [226.0, 2176.0, 792.0, 52.5], TKhqdFZEq2, 6490859]
[ordered-list, [226.0, 2228.5, 792.0, 52.5], TKhqdFZEq2, 6490859]
[ordered-list, [226.0, 2281.0, 792.0, 52.5], TKhqdFZEq2, 6490859]
[ordered-list, [1228.0, 2176.0, 1004.0, 52.5], 5qrnph_SNj, 6490859]
[ordered-list, [1228.0, 2228.5, 1004.0, 52.5], 5qrnph_SNj, 6490859]
[ordered-list, [1228.0, 2281.0, 1004.0, 52.5], 5qrnph_SNj, 6490859]
[contact-info, [192.0, 2746.0, 522.0, 52.5], 5avUPIVOih, 6490859]
[contact-info, [211.0, 3268.0, 485.0, 52.5], 1h6b0_NHQ2, 6490859]
[contact-info, [211.0, 3320.5, 485.0, 52.5], 1h6b0_NHQ2, 6490859]
