[668, 446]
[paragraph, [54.0, 83.0, 344.0, 18.0], R4AlgeLPYS, 6494881]
[paragraph, [54.0, 101.0, 344.0, 18.0], R4AlgeLPYS, 6494881]
[paragraph, [54.0, 165.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 183.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 201.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 219.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 237.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 255.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 273.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 291.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 309.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 327.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 345.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 363.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 381.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 399.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [54.0, 417.0, 347.0, 18.0], shoonya_0sRMLR1B8OECX9, 6494881]
[paragraph, [55.0, 438.0, 344.0, 18.0], _NQQzP_Mcu, 6494881]
[paragraph, [56.0, 467.0, 344.0, 18.0], yi3VJgZCeU, 6494881]
[paragraph, [56.0, 485.0, 344.0, 18.0], yi3VJgZCeU, 6494881]
[paragraph, [56.0, 503.0, 344.0, 18.0], yi3VJgZCeU, 6494881]
[paragraph, [59.0, 549.0, 344.0, 18.0], 6CK85szFDZ, 6494881]
[paragraph, [57.0, 576.0, 346.0, 18.0], nrz6JINLlR, 6494881]
