[842, 596]
[website-link, [397.0, 26.0, 140.0, 18.0], 6JpGMm7C5S, 6464045]
[folio, [59.0, 30.0, 84.0, 18.0], 2gduZtTTsl, 6464045]
[paragraph, [130.0, 66.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 84.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 102.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 120.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 138.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 156.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 174.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 192.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 210.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 228.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 246.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 264.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 282.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 300.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 318.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 336.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 354.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 372.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 390.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 408.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 426.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 444.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 462.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 480.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 498.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 516.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 534.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 552.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 570.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 588.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 606.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 624.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 642.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 660.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 678.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 696.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 714.0, 285.0, 18.0], slyL0Sq61K, 6464045]
[paragraph, [130.0, 732.0, 285.0, 18.0], slyL0Sq61K, 6464045]
