[2084, 1289]
[paragraph, [142.0, 277.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 313.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 349.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 385.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 421.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 457.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 493.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 529.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 565.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 601.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 637.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 673.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 709.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 745.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 781.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 817.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 853.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 889.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [142.0, 925.0, 991.0, 36.0], shoonya_0s4XW1JESTXSQP, 5660840]
[paragraph, [149.0, 988.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[paragraph, [149.0, 1024.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[paragraph, [149.0, 1060.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[paragraph, [149.0, 1096.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[paragraph, [149.0, 1132.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[paragraph, [149.0, 1168.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[paragraph, [149.0, 1204.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[paragraph, [149.0, 1240.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[paragraph, [149.0, 1276.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[paragraph, [149.0, 1312.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[paragraph, [149.0, 1348.0, 993.0, 36.0], shoonya_1sLDV4SK0EGN4G, 5660840]
[section-title, [453.0, 1432.0, 408.0, 52.5], shoonya_4s5MY53OB2YN2F, 5660840]
[paragraph, [137.0, 1518.0, 1006.0, 36.0], shoonya_3sNDZAMI7BQWEW, 5660840]
[paragraph, [137.0, 1554.0, 1006.0, 36.0], shoonya_3sNDZAMI7BQWEW, 5660840]
[paragraph, [137.0, 1590.0, 1006.0, 36.0], shoonya_3sNDZAMI7BQWEW, 5660840]
[paragraph, [157.0, 1626.0, 989.0, 36.0], shoonya_2s3O6G4L0UZ3N5, 5660840]
[paragraph, [157.0, 1662.0, 989.0, 36.0], shoonya_2s3O6G4L0UZ3N5, 5660840]
[paragraph, [157.0, 1698.0, 989.0, 36.0], shoonya_2s3O6G4L0UZ3N5, 5660840]
[paragraph, [157.0, 1734.0, 989.0, 36.0], shoonya_2s3O6G4L0UZ3N5, 5660840]
[paragraph, [157.0, 1770.0, 989.0, 36.0], shoonya_2s3O6G4L0UZ3N5, 5660840]
[paragraph, [157.0, 1806.0, 989.0, 36.0], shoonya_2s3O6G4L0UZ3N5, 5660840]
[folio, [634.0, 1938.0, 652.0, 36.0], shoonya_5sHHZASKL0D1VL, 5660840]
[folio, [634.0, 1974.0, 652.0, 36.0], shoonya_5sHHZASKL0D1VL, 5660840]
