[2200, 1700]
[paragraph, [370.0, 113.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 149.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 185.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 221.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 257.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 293.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 329.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 365.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 401.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 437.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 473.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 509.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 545.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 581.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [370.0, 617.0, 1131.0, 36.0], shoonya_1s9UGUGC3Y8VXN, 5733609]
[paragraph, [375.0, 691.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 727.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 763.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 799.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 835.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 871.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 907.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 943.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 979.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1015.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1051.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1087.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1123.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1159.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1195.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1231.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1267.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1303.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1339.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1375.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1411.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1447.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1483.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1519.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1555.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [375.0, 1591.0, 1132.0, 36.0], shoonya_0sZT1I10C87VIF, 5733609]
[paragraph, [367.0, 1659.0, 1138.0, 36.0], shoonya_2s436T0SJJP6A8, 5733609]
[paragraph, [367.0, 1695.0, 1138.0, 36.0], shoonya_2s436T0SJJP6A8, 5733609]
[paragraph, [367.0, 1731.0, 1138.0, 36.0], shoonya_2s436T0SJJP6A8, 5733609]
[paragraph, [367.0, 1767.0, 1138.0, 36.0], shoonya_2s436T0SJJP6A8, 5733609]
[paragraph, [367.0, 1803.0, 1138.0, 36.0], shoonya_2s436T0SJJP6A8, 5733609]
[paragraph, [367.0, 1839.0, 1138.0, 36.0], shoonya_2s436T0SJJP6A8, 5733609]
[paragraph, [367.0, 1875.0, 1138.0, 36.0], shoonya_2s436T0SJJP6A8, 5733609]
[paragraph, [367.0, 1911.0, 1138.0, 36.0], shoonya_2s436T0SJJP6A8, 5733609]
[paragraph, [367.0, 1947.0, 1138.0, 36.0], shoonya_2s436T0SJJP6A8, 5733609]
[paragraph, [367.0, 1983.0, 1138.0, 36.0], shoonya_2s436T0SJJP6A8, 5733609]
