[513, 347]
[paragraph, [38.0, 63.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 81.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 99.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 117.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 135.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 153.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 171.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 189.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 207.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 225.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 243.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 261.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 279.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 297.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 315.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 333.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 351.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 369.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 387.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 405.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
[paragraph, [38.0, 423.0, 279.0, 18.0], shoonya_1sVFEJYOJZKN1C, 6532986]
