[792, 612]
[headline, [3.0, 0.0, 609.0, 25.5], nkDwhEsgQy, 5744902]
[headline, [3.0, 25.5, 609.0, 25.5], nkDwhEsgQy, 5744902]
[headline, [3.0, 51.0, 609.0, 25.5], nkDwhEsgQy, 5744902]
[unordered-list, [27.0, 158.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 176.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 194.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 212.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 230.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 248.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 266.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 284.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 302.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 320.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 338.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 356.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 374.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 392.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [27.0, 410.0, 226.0, 18.0], NqQHXhd0k0, 5744902]
[unordered-list, [311.0, 171.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 189.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 207.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 225.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 243.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 261.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 279.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 297.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 315.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 333.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 351.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 369.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 387.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 405.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 423.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 441.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 459.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 477.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[unordered-list, [311.0, 495.0, 299.0, 18.0], 458gfmEzKd, 5744902]
[paragraph, [65.0, 441.0, 123.0, 18.0], J6TGB02aQT, 5744902]
[paragraph, [65.0, 477.0, 149.0, 18.0], 2uTATZXRMf, 5744902]
[paragraph, [67.0, 508.0, 135.0, 18.0], cMHkpto-02, 5744902]
