[3509, 2482]
[folio, [1649.0, 572.0, 375.0, 52.5], HMdShuQybM, 5692285]
[folio, [1649.0, 624.5, 375.0, 52.5], HMdShuQybM, 5692285]
[paragraph, [216.0, 721.0, 1780.0, 52.5], shoonya_0s2DQ12A2PYBDR, 5692285]
[paragraph, [216.0, 773.5, 1780.0, 52.5], shoonya_0s2DQ12A2PYBDR, 5692285]
[paragraph, [216.0, 826.0, 1780.0, 52.5], shoonya_0s2DQ12A2PYBDR, 5692285]
[paragraph, [216.0, 878.5, 1780.0, 52.5], shoonya_0s2DQ12A2PYBDR, 5692285]
[paragraph, [216.0, 931.0, 1780.0, 52.5], shoonya_0s2DQ12A2PYBDR, 5692285]
[paragraph, [216.0, 983.5, 1780.0, 52.5], shoonya_0s2DQ12A2PYBDR, 5692285]
[paragraph, [216.0, 1036.0, 1780.0, 52.5], shoonya_0s2DQ12A2PYBDR, 5692285]
[paragraph, [216.0, 1088.5, 1780.0, 52.5], shoonya_0s2DQ12A2PYBDR, 5692285]
[paragraph, [225.0, 1161.0, 1771.0, 52.5], shoonya_2s7G6T6108GAYG, 5692285]
[paragraph, [225.0, 1213.5, 1771.0, 52.5], shoonya_2s7G6T6108GAYG, 5692285]
[paragraph, [225.0, 1266.0, 1771.0, 52.5], shoonya_2s7G6T6108GAYG, 5692285]
[paragraph, [300.0, 1330.0, 657.0, 52.5], xPOk7A4mZ4, 5692285]
[paragraph, [209.0, 1414.0, 1796.0, 52.5], Q6E8bAJxLl, 5692285]
[paragraph, [209.0, 1466.5, 1796.0, 52.5], Q6E8bAJxLl, 5692285]
[paragraph, [209.0, 1519.0, 1796.0, 52.5], Q6E8bAJxLl, 5692285]
[paragraph, [199.0, 1584.0, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [199.0, 1636.5, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [199.0, 1689.0, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [199.0, 1741.5, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [199.0, 1794.0, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [199.0, 1846.5, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [199.0, 1899.0, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [199.0, 1951.5, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [199.0, 2004.0, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [199.0, 2056.5, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [199.0, 2109.0, 1801.0, 52.5], shoonya_1sHDIR7HH4LOM2, 5692285]
[paragraph, [200.0, 2191.0, 1787.0, 52.5], 0VJw45uUB1, 5692285]
[paragraph, [200.0, 2243.5, 1787.0, 52.5], 0VJw45uUB1, 5692285]
[paragraph, [200.0, 2296.0, 1787.0, 52.5], 0VJw45uUB1, 5692285]
[paragraph, [200.0, 2348.5, 1787.0, 52.5], 0VJw45uUB1, 5692285]
[paragraph, [203.0, 2454.0, 1784.0, 52.5], RwwLDmgRiW, 5692285]
[paragraph, [203.0, 2506.5, 1784.0, 52.5], RwwLDmgRiW, 5692285]
[paragraph, [203.0, 2559.0, 1784.0, 52.5], RwwLDmgRiW, 5692285]
[paragraph, [203.0, 2611.5, 1784.0, 52.5], RwwLDmgRiW, 5692285]
[paragraph, [203.0, 2664.0, 1784.0, 52.5], RwwLDmgRiW, 5692285]
[paragraph, [203.0, 2716.5, 1784.0, 52.5], RwwLDmgRiW, 5692285]
[paragraph, [203.0, 2769.0, 1784.0, 52.5], RwwLDmgRiW, 5692285]
[paragraph, [203.0, 2821.5, 1784.0, 52.5], RwwLDmgRiW, 5692285]
[paragraph, [300.0, 2889.0, 1186.0, 52.5], dbdq8_Ht4R, 5692285]
[paragraph, [197.0, 2973.0, 1768.0, 52.5], 4KsdQ0_gKM, 5692285]
[paragraph, [197.0, 3025.5, 1768.0, 52.5], 4KsdQ0_gKM, 5692285]
[paragraph, [197.0, 3078.0, 1768.0, 52.5], 4KsdQ0_gKM, 5692285]
[paragraph, [294.0, 3155.0, 807.0, 52.5], Nq7mjQSOpO, 5692285]
[paragraph, [287.0, 3239.0, 1195.0, 52.5], vbicBBxePW, 5692285]
