[2200, 1700]
[paragraph, [280.0, 221.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 257.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 293.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 329.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 365.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 401.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 437.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 473.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 509.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 545.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 581.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 617.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 653.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [280.0, 689.0, 1139.0, 36.0], shoonya_1sH0LBKBPSNQ19, 5686628]
[paragraph, [274.0, 758.0, 1041.0, 36.0], yBP1uE3-j4, 5686628]
[paragraph, [280.0, 944.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 980.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1016.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1052.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1088.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1124.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1160.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1196.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1232.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1268.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1304.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1340.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1376.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1412.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1448.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1484.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1520.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1556.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1592.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1628.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1664.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1700.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1736.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1772.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1808.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1844.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
[paragraph, [280.0, 1880.0, 1145.0, 36.0], shoonya_0s1LBV9X0W25XM, 5686628]
