[842, 596]
[paragraph, [52.0, 47.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 65.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 83.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 101.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 119.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 137.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 155.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 173.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 191.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 209.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 227.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 245.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 263.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 281.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 299.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 317.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 335.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 353.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 371.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 389.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 407.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 425.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 443.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 461.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 479.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 497.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 515.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 533.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 551.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 569.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 587.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 605.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 623.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 641.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 659.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 677.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 695.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
[paragraph, [52.0, 713.0, 479.0, 18.0], shoonya_1sOTA416SMPVYB, 5770911]
