[1754, 1241]
[paragraph, [213.0, 142.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 178.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 214.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 250.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 286.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 322.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 358.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 394.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 430.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 466.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 502.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [213.0, 538.0, 884.0, 36.0], fzTK779PAM, 6471111]
[paragraph, [209.0, 606.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 642.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 678.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 714.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 750.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 786.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 822.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 858.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 894.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 930.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 966.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1002.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1038.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1074.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1110.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1146.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1182.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1218.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1254.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1290.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1326.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[paragraph, [209.0, 1362.0, 886.0, 36.0], shoonya_0sP91IL4IQMAZI, 6471111]
[footnote, [212.0, 1489.0, 886.0, 36.0], VyKBVIOPHd, 6471111]
[footnote, [212.0, 1525.0, 886.0, 36.0], VyKBVIOPHd, 6471111]
[footnote, [212.0, 1561.0, 886.0, 36.0], VyKBVIOPHd, 6471111]
