[1425, 1088]
[paragraph, [135.0, 98.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 116.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 134.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 152.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 170.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 188.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 206.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 224.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 242.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 260.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 278.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 296.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 314.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 332.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 350.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 368.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 386.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 404.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 422.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 440.0, 852.0, 18.0], shoonya_0sELEX0GEM1720, 5759604]
[paragraph, [135.0, 472.0, 847.0, 18.0], OTf1P2n8kB, 5759604]
[paragraph, [135.0, 490.0, 847.0, 18.0], OTf1P2n8kB, 5759604]
[paragraph, [135.0, 508.0, 847.0, 18.0], OTf1P2n8kB, 5759604]
[paragraph, [135.0, 526.0, 847.0, 18.0], OTf1P2n8kB, 5759604]
[paragraph, [135.0, 544.0, 847.0, 18.0], OTf1P2n8kB, 5759604]
[paragraph, [135.0, 562.0, 847.0, 18.0], OTf1P2n8kB, 5759604]
[paragraph, [135.0, 580.0, 847.0, 18.0], OTf1P2n8kB, 5759604]
[paragraph, [136.0, 611.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 629.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 647.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 665.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 683.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 701.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 719.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 737.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 755.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 773.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 791.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[paragraph, [136.0, 809.0, 848.0, 18.0], 2aFJng2G5y, 5759604]
[section-title, [247.0, 902.0, 116.0, 30.0], _Y6l0Y6d29, 5759604]
[paragraph, [171.0, 955.0, 784.0, 18.0], CJGdC_iATj, 5759604]
[paragraph, [171.0, 973.0, 784.0, 18.0], CJGdC_iATj, 5759604]
[paragraph, [171.0, 991.0, 784.0, 18.0], CJGdC_iATj, 5759604]
[paragraph, [171.0, 1033.0, 794.0, 18.0], AjpmiP5RC8, 5759604]
[paragraph, [171.0, 1051.0, 794.0, 18.0], AjpmiP5RC8, 5759604]
[paragraph, [171.0, 1069.0, 794.0, 18.0], AjpmiP5RC8, 5759604]
[paragraph, [171.0, 1087.0, 794.0, 18.0], AjpmiP5RC8, 5759604]
[paragraph, [171.0, 1105.0, 794.0, 18.0], AjpmiP5RC8, 5759604]
[paragraph, [172.0, 1135.0, 788.0, 18.0], shoonya_3sDGLO1O3ROVD4, 5759604]
[paragraph, [172.0, 1153.0, 788.0, 18.0], shoonya_3sDGLO1O3ROVD4, 5759604]
[paragraph, [172.0, 1171.0, 788.0, 18.0], shoonya_3sDGLO1O3ROVD4, 5759604]
[paragraph, [172.0, 1189.0, 788.0, 18.0], shoonya_3sDGLO1O3ROVD4, 5759604]
[paragraph, [172.0, 1207.0, 788.0, 18.0], shoonya_3sDGLO1O3ROVD4, 5759604]
[folio, [822.0, 1348.0, 159.0, 18.0], shoonya_2sW8AO8ZFH9A6B, 5759604]
