[2200, 1700]
[paragraph, [371.0, 112.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 148.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 184.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 220.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 256.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 292.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 328.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 364.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 400.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 436.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 472.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 508.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [371.0, 544.0, 1135.0, 36.0], shoonya_0sXMZ1NUCTWABF, 5733880]
[paragraph, [376.0, 632.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 668.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 704.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 740.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 776.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 812.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 848.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 884.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 920.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 956.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 992.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1028.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1064.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1100.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1136.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1172.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1208.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1244.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1280.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1316.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1352.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1388.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1424.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1460.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1496.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1532.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1568.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1604.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1640.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1676.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1712.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [376.0, 1748.0, 1130.0, 36.0], shoonya_1sB888PPWD3NQB, 5733880]
[paragraph, [372.0, 1807.0, 1132.0, 36.0], shoonya_2s6HTGW77Y0EEG, 5733880]
[paragraph, [372.0, 1843.0, 1132.0, 36.0], shoonya_2s6HTGW77Y0EEG, 5733880]
[paragraph, [372.0, 1879.0, 1132.0, 36.0], shoonya_2s6HTGW77Y0EEG, 5733880]
[paragraph, [372.0, 1915.0, 1132.0, 36.0], shoonya_2s6HTGW77Y0EEG, 5733880]
[paragraph, [372.0, 1951.0, 1132.0, 36.0], shoonya_2s6HTGW77Y0EEG, 5733880]
[paragraph, [372.0, 1987.0, 1132.0, 36.0], shoonya_2s6HTGW77Y0EEG, 5733880]
[paragraph, [372.0, 2023.0, 1132.0, 36.0], shoonya_2s6HTGW77Y0EEG, 5733880]
