[1736, 1323]
[paragraph, [115.0, 137.0, 418.0, 36.0], shoonya_1sVA47ATVKW2P9, 5772198]
[paragraph, [115.0, 173.0, 418.0, 36.0], shoonya_1sVA47ATVKW2P9, 5772198]
[paragraph, [115.0, 209.0, 418.0, 36.0], shoonya_1sVA47ATVKW2P9, 5772198]
[quote, [597.0, 200.0, 159.0, 36.0], shoonya_9sEJCARKKE5W2V, 5772198]
[quote, [597.0, 236.0, 159.0, 36.0], shoonya_9sEJCARKKE5W2V, 5772198]
[quote, [597.0, 272.0, 159.0, 36.0], shoonya_9sEJCARKKE5W2V, 5772198]
[quote, [597.0, 308.0, 159.0, 36.0], shoonya_9sEJCARKKE5W2V, 5772198]
[quote, [896.0, 204.0, 255.0, 36.0], BShaqE4ODQ, 5772198]
[quote, [896.0, 240.0, 255.0, 36.0], BShaqE4ODQ, 5772198]
[paragraph, [120.0, 273.0, 413.0, 36.0], shoonya_3s45RO437E6RV4, 5772198]
[paragraph, [120.0, 309.0, 413.0, 36.0], shoonya_3s45RO437E6RV4, 5772198]
[paragraph, [120.0, 345.0, 413.0, 36.0], shoonya_3s45RO437E6RV4, 5772198]
[paragraph, [120.0, 381.0, 413.0, 36.0], shoonya_3s45RO437E6RV4, 5772198]
[paragraph, [124.0, 440.0, 407.0, 36.0], shoonya_7sR3KT936V3LAW, 5772198]
[paragraph, [124.0, 476.0, 407.0, 36.0], shoonya_7sR3KT936V3LAW, 5772198]
[paragraph, [124.0, 512.0, 407.0, 36.0], shoonya_7sR3KT936V3LAW, 5772198]
[paragraph, [124.0, 548.0, 407.0, 36.0], shoonya_7sR3KT936V3LAW, 5772198]
[paragraph, [124.0, 584.0, 407.0, 36.0], shoonya_7sR3KT936V3LAW, 5772198]
[author, [1084.0, 604.0, 85.0, 36.0], D8CKAhSlIS, 5772198]
[paragraph, [125.0, 629.0, 407.0, 36.0], shoonya_17s5DHCLF3MV7L, 5772198]
[paragraph, [120.0, 694.0, 538.0, 36.0], shoonya_4sXRDQ6WSQ2OHQ, 5772198]
[paragraph, [120.0, 730.0, 538.0, 36.0], shoonya_4sXRDQ6WSQ2OHQ, 5772198]
[paragraph, [120.0, 766.0, 538.0, 36.0], shoonya_4sXRDQ6WSQ2OHQ, 5772198]
[paragraph, [120.0, 802.0, 538.0, 36.0], shoonya_4sXRDQ6WSQ2OHQ, 5772198]
[paragraph, [120.0, 838.0, 538.0, 36.0], shoonya_4sXRDQ6WSQ2OHQ, 5772198]
[paragraph, [661.0, 708.0, 540.0, 36.0], dS3ebO6a68, 5772198]
[paragraph, [661.0, 744.0, 540.0, 36.0], dS3ebO6a68, 5772198]
[paragraph, [663.0, 775.0, 540.0, 36.0], XgkPttp1NE, 5772198]
[paragraph, [663.0, 811.0, 540.0, 36.0], XgkPttp1NE, 5772198]
[paragraph, [690.0, 844.0, 152.0, 36.0], oUNJhRebCZ, 5772198]
[paragraph, [685.0, 883.0, 172.0, 36.0], 0kaB_HwUTE, 5772198]
[paragraph, [685.0, 920.0, 236.0, 36.0], oAfQ9XoRKC, 5772198]
[paragraph, [122.0, 926.0, 538.0, 36.0], shoonya_2s5PAJPIE77E0R, 5772198]
[paragraph, [122.0, 962.0, 538.0, 36.0], shoonya_2s5PAJPIE77E0R, 5772198]
[paragraph, [122.0, 998.0, 538.0, 36.0], shoonya_2s5PAJPIE77E0R, 5772198]
[paragraph, [122.0, 1034.0, 538.0, 36.0], shoonya_2s5PAJPIE77E0R, 5772198]
[paragraph, [122.0, 1070.0, 538.0, 36.0], shoonya_2s5PAJPIE77E0R, 5772198]
[paragraph, [661.0, 958.0, 540.0, 36.0], cslus5O7kA, 5772198]
[paragraph, [661.0, 994.0, 540.0, 36.0], cslus5O7kA, 5772198]
[paragraph, [683.0, 1027.0, 208.0, 36.0], JKtt8bA715, 5772198]
[paragraph, [658.0, 1059.0, 543.0, 36.0], LdII6wYD7R, 5772198]
[paragraph, [658.0, 1095.0, 543.0, 36.0], LdII6wYD7R, 5772198]
[paragraph, [658.0, 1131.0, 543.0, 36.0], LdII6wYD7R, 5772198]
[paragraph, [658.0, 1167.0, 543.0, 36.0], LdII6wYD7R, 5772198]
[paragraph, [119.0, 1121.0, 540.0, 36.0], QmsKs9jgIh, 5772198]
[paragraph, [119.0, 1157.0, 540.0, 36.0], QmsKs9jgIh, 5772198]
[paragraph, [119.0, 1193.0, 540.0, 36.0], QmsKs9jgIh, 5772198]
[paragraph, [119.0, 1229.0, 540.0, 36.0], QmsKs9jgIh, 5772198]
[paragraph, [663.0, 1223.0, 535.0, 36.0], najQWrZOGy, 5772198]
[paragraph, [118.0, 1285.0, 544.0, 36.0], shoonya_16sED3CUHPZ0NS, 5772198]
[paragraph, [118.0, 1321.0, 544.0, 36.0], shoonya_16sED3CUHPZ0NS, 5772198]
[paragraph, [661.0, 1327.0, 538.0, 36.0], shoonya_18sIBB2BALGYDM, 5772198]
[paragraph, [661.0, 1363.0, 538.0, 36.0], shoonya_18sIBB2BALGYDM, 5772198]
[paragraph, [661.0, 1399.0, 538.0, 36.0], shoonya_18sIBB2BALGYDM, 5772198]
[paragraph, [661.0, 1435.0, 538.0, 36.0], shoonya_18sIBB2BALGYDM, 5772198]
[paragraph, [115.0, 1377.0, 543.0, 36.0], shoonya_8sM77V1VGWKDMZ, 5772198]
[paragraph, [141.0, 1447.0, 436.0, 36.0], shoonya_15sDHFZ868YVBA, 5772198]
[paragraph, [144.0, 1485.0, 411.0, 36.0], WU_mkM5UrJ, 5772198]
[paragraph, [659.0, 1494.0, 543.0, 36.0], tjnpElofRr, 5772198]
[paragraph, [144.0, 1521.0, 458.0, 36.0], bfW8bV-WIP, 5772198]
[folio, [575.0, 1568.0, 159.0, 36.0], shoonya_12sTN51EK431XZ, 5772198]
