[1650, 1275]
[paragraph, [180.0, 138.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 174.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 210.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 246.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 282.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 318.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 354.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 390.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 426.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 462.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 498.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 534.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 570.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 606.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 642.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 678.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 714.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 750.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 786.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 822.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 858.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 894.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 930.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 966.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 1002.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [180.0, 1038.0, 905.0, 36.0], shoonya_1sYXDN9JDVCPCT, 5704365]
[paragraph, [178.0, 1087.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
[paragraph, [178.0, 1123.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
[paragraph, [178.0, 1159.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
[paragraph, [178.0, 1195.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
[paragraph, [178.0, 1231.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
[paragraph, [178.0, 1267.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
[paragraph, [178.0, 1303.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
[paragraph, [178.0, 1339.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
[paragraph, [178.0, 1375.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
[paragraph, [178.0, 1411.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
[paragraph, [178.0, 1447.0, 910.0, 36.0], 5E6nPbdyFy, 5704365]
