[834, 618]
[section-title, [226.0, 103.0, 171.0, 30.0], OuVCk58xs1, 5712800]
[paragraph, [89.0, 165.0, 96.0, 18.0], shoonya_3sC4PWRV9VIVV6, 5712800]
[paragraph, [80.0, 177.0, 456.0, 18.0], shoonya_5sHZK9ONGISVCZ, 5712800]
[paragraph, [80.0, 195.0, 456.0, 18.0], shoonya_5sHZK9ONGISVCZ, 5712800]
[paragraph, [80.0, 213.0, 456.0, 18.0], shoonya_5sHZK9ONGISVCZ, 5712800]
[paragraph, [80.0, 231.0, 456.0, 18.0], shoonya_5sHZK9ONGISVCZ, 5712800]
[paragraph, [80.0, 249.0, 456.0, 18.0], shoonya_5sHZK9ONGISVCZ, 5712800]
[paragraph, [80.0, 267.0, 456.0, 18.0], shoonya_5sHZK9ONGISVCZ, 5712800]
[paragraph, [78.0, 298.0, 458.0, 18.0], shoonya_6s29FKBR9QBV43, 5712800]
[paragraph, [78.0, 316.0, 458.0, 18.0], shoonya_6s29FKBR9QBV43, 5712800]
[paragraph, [78.0, 334.0, 458.0, 18.0], shoonya_6s29FKBR9QBV43, 5712800]
[paragraph, [78.0, 352.0, 458.0, 18.0], shoonya_6s29FKBR9QBV43, 5712800]
[paragraph, [78.0, 370.0, 458.0, 18.0], shoonya_6s29FKBR9QBV43, 5712800]
[paragraph, [78.0, 388.0, 458.0, 18.0], shoonya_6s29FKBR9QBV43, 5712800]
[paragraph, [78.0, 411.0, 456.0, 18.0], shoonya_1s906FU3VZI8UL, 5712800]
[paragraph, [78.0, 429.0, 456.0, 18.0], shoonya_1s906FU3VZI8UL, 5712800]
[paragraph, [78.0, 447.0, 456.0, 18.0], shoonya_1s906FU3VZI8UL, 5712800]
[paragraph, [78.0, 465.0, 456.0, 18.0], shoonya_1s906FU3VZI8UL, 5712800]
[paragraph, [78.0, 497.0, 456.0, 18.0], shoonya_0sU5IWOVKTT9XB, 5712800]
[paragraph, [78.0, 515.0, 456.0, 18.0], shoonya_0sU5IWOVKTT9XB, 5712800]
[paragraph, [78.0, 533.0, 456.0, 18.0], shoonya_0sU5IWOVKTT9XB, 5712800]
[paragraph, [78.0, 551.0, 456.0, 18.0], shoonya_0sU5IWOVKTT9XB, 5712800]
[paragraph, [78.0, 580.0, 459.0, 18.0], shoonya_4sIAKB34C4286B, 5712800]
[paragraph, [78.0, 598.0, 459.0, 18.0], shoonya_4sIAKB34C4286B, 5712800]
[contact-info, [101.0, 632.0, 432.0, 18.0], Ra4E4fMXp2, 5712800]
[contact-info, [101.0, 650.0, 432.0, 18.0], Ra4E4fMXp2, 5712800]
[contact-info, [101.0, 668.0, 432.0, 18.0], Ra4E4fMXp2, 5712800]
[folio, [365.0, 682.0, 157.0, 18.0], E92BNfbBW7, 5712800]
[folio, [365.0, 700.0, 157.0, 18.0], E92BNfbBW7, 5712800]
[folio, [365.0, 718.0, 157.0, 18.0], E92BNfbBW7, 5712800]
[folio, [365.0, 736.0, 157.0, 18.0], E92BNfbBW7, 5712800]
[folio, [73.0, 770.0, 119.0, 18.0], d04TcTQbjJ, 5712800]
