[2200, 1700]
[folio, [304.0, 187.0, 285.0, 36.0], TgTV_Ixo_z, 5753127]
[paragraph, [185.0, 331.0, 1338.0, 36.0], bujU-I2br3, 5753127]
[paragraph, [185.0, 367.0, 1338.0, 36.0], bujU-I2br3, 5753127]
[paragraph, [185.0, 403.0, 1338.0, 36.0], bujU-I2br3, 5753127]
[paragraph, [185.0, 439.0, 1338.0, 36.0], bujU-I2br3, 5753127]
[paragraph, [555.0, 497.0, 580.0, 36.0], Y_Sz0NO6NA, 5753127]
[paragraph, [555.0, 533.0, 580.0, 36.0], Y_Sz0NO6NA, 5753127]
[paragraph, [555.0, 569.0, 580.0, 36.0], Y_Sz0NO6NA, 5753127]
[paragraph, [555.0, 605.0, 580.0, 36.0], Y_Sz0NO6NA, 5753127]
[paragraph, [555.0, 641.0, 580.0, 36.0], Y_Sz0NO6NA, 5753127]
[paragraph, [205.0, 719.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 755.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 791.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 827.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 863.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 899.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 935.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 971.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1007.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1043.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1079.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1115.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1151.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1187.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1223.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1259.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1295.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1331.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1367.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1403.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1439.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1475.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [205.0, 1511.0, 1288.0, 36.0], shoonya_0sTNFVI6S2PFGV, 5753127]
[paragraph, [185.0, 1657.0, 1319.0, 36.0], ESR3PLexz8, 5753127]
[paragraph, [185.0, 1693.0, 1319.0, 36.0], ESR3PLexz8, 5753127]
[paragraph, [185.0, 1729.0, 1319.0, 36.0], ESR3PLexz8, 5753127]
[paragraph, [185.0, 1765.0, 1319.0, 36.0], ESR3PLexz8, 5753127]
[paragraph, [185.0, 1801.0, 1319.0, 36.0], ESR3PLexz8, 5753127]
[paragraph, [185.0, 1837.0, 1319.0, 36.0], ESR3PLexz8, 5753127]
[paragraph, [185.0, 1873.0, 1319.0, 36.0], ESR3PLexz8, 5753127]
[paragraph, [185.0, 1909.0, 1319.0, 36.0], ESR3PLexz8, 5753127]
[folio, [340.0, 2000.0, 440.0, 36.0], aElNSe1Hu-, 5753127]
