[2339, 1653]
[folio, [289.0, 212.0, 200.0, 36.0], dktSjcc6q1, 5655184]
[paragraph, [286.0, 311.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 347.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 383.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 419.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 455.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 491.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 527.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 563.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 599.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 635.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 671.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 707.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 743.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 779.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 815.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 851.0, 1078.0, 36.0], shoonya_1sCXM6L6GS4RQX, 5655184]
[paragraph, [286.0, 933.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [286.0, 969.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [286.0, 1005.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [286.0, 1041.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [286.0, 1077.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [286.0, 1113.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [286.0, 1149.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [286.0, 1185.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [286.0, 1221.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [286.0, 1257.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [286.0, 1293.0, 1080.0, 36.0], shoonya_2s2GJAIYYV0IR1, 5655184]
[paragraph, [285.0, 1365.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1401.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1437.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1473.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1509.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1545.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1581.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1617.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1653.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1689.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1725.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1761.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1797.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1833.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1869.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1905.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1941.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 1977.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
[paragraph, [285.0, 2013.0, 1078.0, 36.0], shoonya_0sLIA97OVOSAFZ, 5655184]
