[874, 612]
[folio, [294.0, 29.0, 93.0, 18.0], shoonya_1sU26GMFIIJ65D, 6460337]
[paragraph, [113.0, 80.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 98.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 116.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 134.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 152.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 170.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 188.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 206.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 224.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 242.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 260.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 278.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 296.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 314.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 332.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 350.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 368.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 386.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 404.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 422.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 440.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 458.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 476.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 494.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 512.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 530.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 548.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 566.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 584.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 602.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 620.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 638.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 656.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 674.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 692.0, 457.0, 18.0], shoonya_0sF5LSFOQ3P4QH, 6460337]
[paragraph, [113.0, 726.0, 463.0, 18.0], shoonya_3sX2GDG5RFIMJ6, 6460337]
[paragraph, [113.0, 744.0, 463.0, 18.0], shoonya_3sX2GDG5RFIMJ6, 6460337]
[paragraph, [113.0, 762.0, 463.0, 18.0], shoonya_3sX2GDG5RFIMJ6, 6460337]
[paragraph, [113.0, 780.0, 463.0, 18.0], shoonya_3sX2GDG5RFIMJ6, 6460337]
[paragraph, [113.0, 798.0, 463.0, 18.0], shoonya_3sX2GDG5RFIMJ6, 6460337]
