[2200, 1700]
[paragraph, [370.0, 113.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 149.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 185.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 221.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 257.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 293.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 329.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 365.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 401.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 437.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 473.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 509.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [370.0, 545.0, 1138.0, 36.0], shoonya_2sOONL7A4E3RET, 5734120]
[paragraph, [372.0, 636.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 672.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 708.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 744.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 780.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 816.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 852.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 888.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 924.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 960.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 996.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 1032.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [372.0, 1068.0, 1133.0, 36.0], shoonya_1sVCOXTX2V7NZW, 5734120]
[paragraph, [373.0, 1157.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1193.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1229.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1265.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1301.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1337.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1373.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1409.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1445.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1481.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1517.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1553.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1589.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1625.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1661.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1697.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1733.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1769.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1805.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1841.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1877.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1913.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1949.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
[paragraph, [373.0, 1985.0, 1132.0, 36.0], shoonya_0sW42AF81YXXCQ, 5734120]
