[3509, 2480]
[paragraph, [344.0, 388.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 440.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 493.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 545.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 598.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 650.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 703.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 755.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 808.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 860.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 913.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 965.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1018.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1070.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1123.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1175.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1228.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1280.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1333.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1385.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1438.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1490.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1543.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1595.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1648.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1700.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1753.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1805.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1858.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1910.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 1963.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 2015.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 2068.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 2120.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 2173.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 2225.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 2278.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 2330.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 2383.0, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[paragraph, [344.0, 2435.5, 1796.0, 52.5], shoonya_0sIYHH2UTGGBI7, 5723622]
[section-title, [380.0, 2598.0, 1253.0, 93.0], C5TjaRrlY0, 5723622]
[paragraph, [349.0, 2747.0, 1792.0, 52.5], u2wlYqs4Xt, 5723622]
[paragraph, [349.0, 2799.5, 1792.0, 52.5], u2wlYqs4Xt, 5723622]
[paragraph, [349.0, 2852.0, 1792.0, 52.5], u2wlYqs4Xt, 5723622]
[paragraph, [349.0, 2904.5, 1792.0, 52.5], u2wlYqs4Xt, 5723622]
[paragraph, [349.0, 2957.0, 1792.0, 52.5], u2wlYqs4Xt, 5723622]
[paragraph, [349.0, 3009.5, 1792.0, 52.5], u2wlYqs4Xt, 5723622]
[paragraph, [349.0, 3062.0, 1792.0, 52.5], u2wlYqs4Xt, 5723622]
