[795, 593]
[folio, [64.0, 87.0, 56.0, 18.0], YIECc6ucrf, 6466316]
[placeholder-text, [59.0, 110.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 128.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 146.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 164.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 182.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 200.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 218.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 236.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 254.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 272.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 290.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 308.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 326.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 344.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 362.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 380.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 398.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 416.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 434.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 452.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 470.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 488.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 506.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 524.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 542.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 560.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 578.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 596.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 614.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 632.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 650.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 668.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
[placeholder-text, [59.0, 686.0, 504.0, 18.0], FjRIfVxE5-, 6466316]
