[2200, 1700]
[paragraph, [343.0, 78.0, 961.0, 36.0], BPLlEkzZFv, 5731591]
[ordered-list, [319.0, 146.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 182.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 218.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 254.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 290.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 326.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 362.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 398.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 434.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 470.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 506.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 542.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 578.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 614.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 650.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 686.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 722.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 758.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 794.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 830.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 866.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 902.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 938.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 974.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1010.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1046.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1082.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1118.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1154.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1190.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1226.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1262.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1298.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1334.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1370.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1406.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1442.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1478.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1514.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1550.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1586.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1622.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1658.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1694.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1730.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1766.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1802.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1838.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1874.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[ordered-list, [319.0, 1910.0, 1110.0, 36.0], shoonya_0s6Z0774J5X6BG, 5731591]
[folio, [318.0, 2021.0, 352.0, 36.0], Tm9YR-xaKU, 5731591]
