[1347, 847]
[paragraph, [37.0, 34.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 52.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 70.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 88.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 106.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 124.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 142.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 160.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 178.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 196.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 214.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 232.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 250.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 268.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [37.0, 286.0, 765.0, 18.0], ianA8SLSw-, 5660109]
[paragraph, [35.0, 310.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 328.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 346.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 364.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 382.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 400.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 418.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 436.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 454.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 472.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 490.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [35.0, 508.0, 772.0, 18.0], Tuu6cow19X, 5660109]
[paragraph, [49.0, 544.0, 758.0, 18.0], JNdexn868y, 5660109]
[paragraph, [49.0, 562.0, 758.0, 18.0], JNdexn868y, 5660109]
[paragraph, [49.0, 580.0, 758.0, 18.0], JNdexn868y, 5660109]
[paragraph, [49.0, 598.0, 758.0, 18.0], JNdexn868y, 5660109]
[paragraph, [49.0, 616.0, 758.0, 18.0], JNdexn868y, 5660109]
[paragraph, [49.0, 634.0, 758.0, 18.0], JNdexn868y, 5660109]
[paragraph, [49.0, 652.0, 758.0, 18.0], JNdexn868y, 5660109]
[paragraph, [49.0, 670.0, 758.0, 18.0], JNdexn868y, 5660109]
[paragraph, [49.0, 688.0, 758.0, 18.0], JNdexn868y, 5660109]
[paragraph, [49.0, 706.0, 758.0, 18.0], JNdexn868y, 5660109]
[paragraph, [44.0, 739.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 757.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 775.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 793.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 811.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 829.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 847.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 865.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 883.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 901.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 919.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 937.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 955.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 973.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 991.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 1009.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 1027.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 1045.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 1063.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 1081.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 1099.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 1117.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [44.0, 1135.0, 761.0, 18.0], 1TZJZ2LwQS, 5660109]
[paragraph, [86.0, 1164.0, 714.0, 18.0], IYYlTUh4yf, 5660109]
[paragraph, [86.0, 1182.0, 714.0, 18.0], IYYlTUh4yf, 5660109]
[footnote, [5.0, 1263.0, 833.0, 18.0], jt4MfVs_9m, 5660109]
[footnote, [5.0, 1281.0, 833.0, 18.0], jt4MfVs_9m, 5660109]
[footnote, [5.0, 1299.0, 833.0, 18.0], jt4MfVs_9m, 5660109]
[website-link, [484.0, 1301.0, 203.0, 18.0], OxxgZVbZiC, 5660109]
[website-link, [152.0, 1302.0, 231.0, 18.0], 6temeNR6S4, 5660109]
