[679, 512]
[paragraph, [49.0, 47.0, 422.0, 18.0], 8mRpc24Cru, 6494305]
[paragraph, [49.0, 65.0, 422.0, 18.0], 8mRpc24Cru, 6494305]
[paragraph, [49.0, 83.0, 422.0, 18.0], 8mRpc24Cru, 6494305]
[paragraph, [49.0, 101.0, 422.0, 18.0], 8mRpc24Cru, 6494305]
[paragraph, [106.0, 138.0, 315.0, 18.0], LDPnSIg8Gs, 6494305]
[paragraph, [106.0, 156.0, 315.0, 18.0], LDPnSIg8Gs, 6494305]
[paragraph, [106.0, 174.0, 315.0, 18.0], LDPnSIg8Gs, 6494305]
[paragraph, [106.0, 192.0, 315.0, 18.0], LDPnSIg8Gs, 6494305]
[paragraph, [106.0, 210.0, 315.0, 18.0], LDPnSIg8Gs, 6494305]
[paragraph, [106.0, 228.0, 315.0, 18.0], LDPnSIg8Gs, 6494305]
[paragraph, [54.0, 255.0, 410.0, 18.0], g5MPqVs5kF, 6494305]
[paragraph, [54.0, 273.0, 410.0, 18.0], g5MPqVs5kF, 6494305]
[paragraph, [45.0, 300.0, 415.0, 18.0], cFAnye62Du, 6494305]
[paragraph, [45.0, 318.0, 415.0, 18.0], cFAnye62Du, 6494305]
[paragraph, [45.0, 336.0, 415.0, 18.0], cFAnye62Du, 6494305]
[paragraph, [50.0, 378.0, 413.0, 18.0], mh648oIHyq, 6494305]
[paragraph, [50.0, 396.0, 413.0, 18.0], mh648oIHyq, 6494305]
[paragraph, [50.0, 414.0, 413.0, 18.0], mh648oIHyq, 6494305]
[paragraph, [50.0, 432.0, 413.0, 18.0], mh648oIHyq, 6494305]
[paragraph, [50.0, 450.0, 413.0, 18.0], mh648oIHyq, 6494305]
[paragraph, [50.0, 468.0, 413.0, 18.0], mh648oIHyq, 6494305]
[paragraph, [50.0, 486.0, 413.0, 18.0], mh648oIHyq, 6494305]
[paragraph, [50.0, 504.0, 413.0, 18.0], mh648oIHyq, 6494305]
[paragraph, [45.0, 528.0, 419.0, 18.0], KmGsuQCXmd, 6494305]
[paragraph, [45.0, 546.0, 419.0, 18.0], KmGsuQCXmd, 6494305]
[paragraph, [45.0, 564.0, 419.0, 18.0], KmGsuQCXmd, 6494305]
[paragraph, [45.0, 582.0, 419.0, 18.0], KmGsuQCXmd, 6494305]
[folio, [160.0, 617.0, 166.0, 18.0], Jw-7gdqbk8, 6494305]
