[814, 624]
[paragraph, [81.0, 54.0, 459.0, 18.0], shoonya_3sXJCTY1YZI6OP, 5690109]
[paragraph, [81.0, 72.0, 459.0, 18.0], shoonya_3sXJCTY1YZI6OP, 5690109]
[paragraph, [81.0, 109.0, 383.0, 18.0], shoonya_1sSC435N4L8LY2, 5690109]
[paragraph, [77.0, 138.0, 384.0, 18.0], 6zsTiTfIZY, 5690109]
[ordered-list, [78.0, 166.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 184.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 202.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 220.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 238.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 256.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 274.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 292.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 310.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 328.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 346.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 364.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 382.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 400.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 418.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 436.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 454.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 472.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 490.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 508.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 526.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 544.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 562.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 580.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 598.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[ordered-list, [78.0, 616.0, 470.0, 18.0], shoonya_2sZ9NZMFUZEPX1, 5690109]
[sub-ordered-list, [104.0, 355.0, 441.0, 18.0], v1pRgRd5SK, 5690109]
[sub-ordered-list, [104.0, 373.0, 441.0, 18.0], v1pRgRd5SK, 5690109]
[sub-ordered-list, [104.0, 391.0, 441.0, 18.0], v1pRgRd5SK, 5690109]
[sub-ordered-list, [104.0, 409.0, 441.0, 18.0], v1pRgRd5SK, 5690109]
[sub-ordered-list, [104.0, 427.0, 441.0, 18.0], v1pRgRd5SK, 5690109]
[sub-ordered-list, [104.0, 445.0, 441.0, 18.0], v1pRgRd5SK, 5690109]
[sub-ordered-list, [104.0, 463.0, 441.0, 18.0], v1pRgRd5SK, 5690109]
[sub-ordered-list, [105.0, 525.0, 284.0, 18.0], m9czeX8_Vs, 5690109]
[sub-ordered-list, [105.0, 543.0, 284.0, 18.0], m9czeX8_Vs, 5690109]
[sub-ordered-list, [105.0, 561.0, 284.0, 18.0], m9czeX8_Vs, 5690109]
[sub-ordered-list, [105.0, 579.0, 284.0, 18.0], m9czeX8_Vs, 5690109]
[sub-ordered-list, [105.0, 597.0, 284.0, 18.0], m9czeX8_Vs, 5690109]
[sub-ordered-list, [105.0, 615.0, 284.0, 18.0], m9czeX8_Vs, 5690109]
[paragraph, [79.0, 645.0, 311.0, 18.0], RMfq2QyCzC, 5690109]
[paragraph, [258.0, 671.0, 106.0, 18.0], yxpiBjF3H5, 5690109]
[sidebar, [77.0, 703.0, 113.0, 18.0], ibQUiMYjH9, 5690109]
