[1050, 693]
[folio, [515.0, 78.0, 89.0, 18.0], shoonya_0sRRYCDJ7XT09F, 5701813]
[folio, [515.0, 96.0, 89.0, 18.0], shoonya_0sRRYCDJ7XT09F, 5701813]
[paragraph, [75.0, 120.0, 532.0, 18.0], fsINs5U4Zr, 5701813]
[paragraph, [75.0, 138.0, 532.0, 18.0], fsINs5U4Zr, 5701813]
[paragraph, [75.0, 156.0, 532.0, 18.0], fsINs5U4Zr, 5701813]
[paragraph, [75.0, 174.0, 532.0, 18.0], fsINs5U4Zr, 5701813]
[paragraph, [75.0, 192.0, 532.0, 18.0], fsINs5U4Zr, 5701813]
[paragraph, [75.0, 210.0, 532.0, 18.0], fsINs5U4Zr, 5701813]
[paragraph, [80.0, 247.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 265.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 283.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 301.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 319.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 337.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 355.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 373.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 391.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 409.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 427.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 445.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 463.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 481.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 499.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 517.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 535.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 553.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 571.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [80.0, 589.0, 530.0, 18.0], MwAM45YNpD, 5701813]
[paragraph, [77.0, 614.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 632.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 650.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 668.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 686.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 704.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 722.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 740.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 758.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 776.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 794.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 812.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 830.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 848.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 866.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[paragraph, [77.0, 884.0, 544.0, 18.0], FAmvPfXU8k, 5701813]
[footnote, [80.0, 915.0, 530.0, 18.0], QLc15mgcru, 5701813]
[footnote, [80.0, 933.0, 530.0, 18.0], QLc15mgcru, 5701813]
