[1500, 1050]
[section-title, [229.0, 202.0, 612.0, 49.5], shoonya_0s5Y5XWVENDN65, 5759663]
[paragraph, [190.0, 284.0, 683.0, 36.0], shoonya_1s82TQ5QTWNTVV, 5759663]
[paragraph, [190.0, 320.0, 683.0, 36.0], shoonya_1s82TQ5QTWNTVV, 5759663]
[paragraph, [190.0, 356.0, 683.0, 36.0], shoonya_1s82TQ5QTWNTVV, 5759663]
[paragraph, [190.0, 392.0, 683.0, 36.0], shoonya_1s82TQ5QTWNTVV, 5759663]
[paragraph, [196.0, 451.0, 679.0, 36.0], aOh8rUiVQR, 5759663]
[paragraph, [196.0, 487.0, 679.0, 36.0], aOh8rUiVQR, 5759663]
[paragraph, [196.0, 523.0, 679.0, 36.0], aOh8rUiVQR, 5759663]
[paragraph, [196.0, 559.0, 679.0, 36.0], aOh8rUiVQR, 5759663]
[paragraph, [196.0, 595.0, 679.0, 36.0], aOh8rUiVQR, 5759663]
[paragraph, [196.0, 631.0, 679.0, 36.0], aOh8rUiVQR, 5759663]
[paragraph, [196.0, 667.0, 679.0, 36.0], aOh8rUiVQR, 5759663]
[paragraph, [196.0, 703.0, 679.0, 36.0], aOh8rUiVQR, 5759663]
[paragraph, [196.0, 739.0, 679.0, 36.0], aOh8rUiVQR, 5759663]
[paragraph, [196.0, 780.0, 681.0, 36.0], shoonya_2sP9LXJ71YDFG5, 5759663]
[paragraph, [196.0, 816.0, 681.0, 36.0], shoonya_2sP9LXJ71YDFG5, 5759663]
[paragraph, [196.0, 852.0, 681.0, 36.0], shoonya_2sP9LXJ71YDFG5, 5759663]
[paragraph, [196.0, 888.0, 681.0, 36.0], shoonya_2sP9LXJ71YDFG5, 5759663]
[paragraph, [199.0, 952.0, 679.0, 36.0], vJ9FZivPYx, 5759663]
[paragraph, [199.0, 988.0, 679.0, 36.0], vJ9FZivPYx, 5759663]
[paragraph, [199.0, 1024.0, 679.0, 36.0], vJ9FZivPYx, 5759663]
[paragraph, [199.0, 1060.0, 679.0, 36.0], vJ9FZivPYx, 5759663]
[paragraph, [199.0, 1096.0, 679.0, 36.0], vJ9FZivPYx, 5759663]
[paragraph, [199.0, 1132.0, 679.0, 36.0], vJ9FZivPYx, 5759663]
[paragraph, [200.0, 1186.0, 678.0, 36.0], kKE-OexuV5, 5759663]
[paragraph, [200.0, 1222.0, 678.0, 36.0], kKE-OexuV5, 5759663]
[paragraph, [200.0, 1258.0, 678.0, 36.0], kKE-OexuV5, 5759663]
[paragraph, [200.0, 1294.0, 678.0, 36.0], kKE-OexuV5, 5759663]
[paragraph, [200.0, 1330.0, 678.0, 36.0], kKE-OexuV5, 5759663]
[paragraph, [200.0, 1366.0, 678.0, 36.0], kKE-OexuV5, 5759663]
[paragraph, [200.0, 1402.0, 678.0, 36.0], kKE-OexuV5, 5759663]
