[1320, 1176]
[folio, [944.0, 60.0, 151.0, 18.0], Ka19pOyRpZ, 5694233]
[folio, [944.0, 78.0, 151.0, 18.0], Ka19pOyRpZ, 5694233]
[folio, [944.0, 96.0, 151.0, 18.0], Ka19pOyRpZ, 5694233]
[folio, [944.0, 114.0, 151.0, 18.0], Ka19pOyRpZ, 5694233]
[folio, [944.0, 132.0, 151.0, 18.0], Ka19pOyRpZ, 5694233]
[chapter-title, [259.0, 193.0, 629.0, 30.0], 0KhW2bfWwZ, 5694233]
[author, [456.0, 252.0, 249.0, 18.0], gIWUoEqO6B, 5694233]
[paragraph, [424.0, 286.0, 334.0, 18.0], OPZye_YYQm, 5694233]
[paragraph, [424.0, 304.0, 334.0, 18.0], OPZye_YYQm, 5694233]
[paragraph, [85.0, 295.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 313.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 331.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 349.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 367.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 385.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 403.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 421.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 439.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 457.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 475.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [85.0, 493.0, 321.0, 18.0], rh0qjr4QuE, 5694233]
[paragraph, [770.0, 295.0, 321.0, 18.0], xLeqUmAttG, 5694233]
[paragraph, [770.0, 313.0, 321.0, 18.0], xLeqUmAttG, 5694233]
[paragraph, [770.0, 331.0, 321.0, 18.0], xLeqUmAttG, 5694233]
[paragraph, [770.0, 349.0, 321.0, 18.0], xLeqUmAttG, 5694233]
[paragraph, [770.0, 367.0, 321.0, 18.0], xLeqUmAttG, 5694233]
[paragraph, [770.0, 385.0, 321.0, 18.0], xLeqUmAttG, 5694233]
[paragraph, [770.0, 403.0, 321.0, 18.0], xLeqUmAttG, 5694233]
