[1601, 1158]
[section-title, [244.0, 90.0, 691.0, 49.5], shoonya_2sK40ZKI1DIFJN, 5695258]
[section-title, [244.0, 139.5, 691.0, 49.5], shoonya_2sK40ZKI1DIFJN, 5695258]
[section-title, [244.0, 189.0, 691.0, 49.5], shoonya_2sK40ZKI1DIFJN, 5695258]
[paragraph, [594.0, 281.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 317.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 353.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 389.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 425.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 461.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 497.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 533.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 569.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 605.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 641.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [594.0, 677.0, 462.0, 36.0], shoonya_1s10WEI730MUSX, 5695258]
[paragraph, [130.0, 287.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 323.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 359.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 395.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 431.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 467.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 503.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 539.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 575.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 611.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 647.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[paragraph, [130.0, 683.0, 459.0, 36.0], shoonya_0sYYECV4809HDW, 5695258]
[folio, [56.0, 553.0, 73.0, 36.0], Ea902IM9P3, 5695258]
[folio, [65.0, 1004.0, 56.0, 36.0], BYKBrWihf8, 5695258]
