[589, 405]
[paragraph, [32.0, 125.0, 321.0, 18.0], PLLNiFXICv, 6493593]
[paragraph, [32.0, 143.0, 321.0, 18.0], PLLNiFXICv, 6493593]
[paragraph, [32.0, 161.0, 321.0, 18.0], PLLNiFXICv, 6493593]
[paragraph, [34.0, 214.0, 319.0, 18.0], 1ku0d5cP3S, 6493593]
[paragraph, [34.0, 232.0, 319.0, 18.0], 1ku0d5cP3S, 6493593]
[paragraph, [34.0, 250.0, 319.0, 18.0], 1ku0d5cP3S, 6493593]
[paragraph, [34.0, 268.0, 319.0, 18.0], 1ku0d5cP3S, 6493593]
[paragraph, [34.0, 286.0, 319.0, 18.0], 1ku0d5cP3S, 6493593]
[paragraph, [34.0, 304.0, 319.0, 18.0], 1ku0d5cP3S, 6493593]
[paragraph, [34.0, 322.0, 319.0, 18.0], 1ku0d5cP3S, 6493593]
[paragraph, [34.0, 352.0, 325.0, 18.0], lKft3PiFGZ, 6493593]
[paragraph, [34.0, 370.0, 325.0, 18.0], lKft3PiFGZ, 6493593]
[paragraph, [34.0, 388.0, 325.0, 18.0], lKft3PiFGZ, 6493593]
[paragraph, [34.0, 406.0, 325.0, 18.0], lKft3PiFGZ, 6493593]
[paragraph, [34.0, 424.0, 325.0, 18.0], lKft3PiFGZ, 6493593]
[paragraph, [34.0, 442.0, 325.0, 18.0], lKft3PiFGZ, 6493593]
[paragraph, [34.0, 473.0, 321.0, 18.0], wfuaIzWYD3, 6493593]
[chapter-title, [17012.0, 6544.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6574.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6604.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6634.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6664.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6694.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6724.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6754.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6784.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6814.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6844.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6874.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6904.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6934.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6964.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 6994.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7024.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7054.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7084.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7114.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7144.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7174.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7204.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7234.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7264.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7294.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7324.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7354.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7384.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7414.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7444.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7474.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7504.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7534.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7564.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7594.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7624.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7654.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7684.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7714.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7744.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7774.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7804.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7834.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7864.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7894.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7924.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7954.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 7984.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 8014.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 8044.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 8074.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
[chapter-title, [17012.0, 8104.0, 21630.0, 30.0], shoonya_6s0QE3YXA0O1PK, 6493593]
