[872, 605]
[folio, [468.0, 25.0, 84.0, 18.0], wDWgYP-aqX, 6456904]
[folio, [468.0, 43.0, 84.0, 18.0], wDWgYP-aqX, 6456904]
[paragraph, [50.0, 69.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 87.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 105.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 123.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 141.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 159.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 177.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 195.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 213.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 231.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 249.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 267.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 285.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 303.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 321.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 339.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 357.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 375.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 393.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 411.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 429.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 447.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 465.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
[paragraph, [50.0, 483.0, 252.0, 18.0], shoonya_0sRQL1I5I4FBJL, 6456904]
