[1984, 2806]
[section-title, [1323.0, 544.0, 162.0, 49.5], shoonya_0sL9L3H7JOAPJV, 5697295]
[sub-section-title, [1067.0, 608.0, 671.0, 36.0], M-KYfaLEWO, 5697295]
[paragraph, [322.0, 721.0, 2199.0, 36.0], t3DI-bvmhu, 5697295]
[paragraph, [322.0, 757.0, 2199.0, 36.0], t3DI-bvmhu, 5697295]
[paragraph, [322.0, 793.0, 2199.0, 36.0], t3DI-bvmhu, 5697295]
[paragraph, [322.0, 829.0, 2199.0, 36.0], t3DI-bvmhu, 5697295]
[paragraph, [322.0, 865.0, 2199.0, 36.0], t3DI-bvmhu, 5697295]
[paragraph, [322.0, 901.0, 2199.0, 36.0], t3DI-bvmhu, 5697295]
[paragraph, [314.0, 985.0, 2219.0, 36.0], TROwoqBSDn, 5697295]
[paragraph, [314.0, 1021.0, 2219.0, 36.0], TROwoqBSDn, 5697295]
[paragraph, [314.0, 1057.0, 2219.0, 36.0], TROwoqBSDn, 5697295]
[paragraph, [314.0, 1093.0, 2219.0, 36.0], TROwoqBSDn, 5697295]
[paragraph, [314.0, 1129.0, 2219.0, 36.0], TROwoqBSDn, 5697295]
