[842, 596]
[folio, [240.0, 95.0, 143.0, 18.0], NtIiydKXob, 5658015]
[paragraph, [69.0, 150.0, 52.0, 18.0], gdy3uMY5zP, 5658015]
[ordered-list, [69.0, 174.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 192.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 210.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 228.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 246.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 264.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 282.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 300.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 318.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 336.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 354.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[ordered-list, [69.0, 372.0, 459.0, 18.0], tBKboSyFsd, 5658015]
[sub-ordered-list, [119.0, 270.0, 403.0, 18.0], Oqnxc-tRd6, 5658015]
[sub-ordered-list, [119.0, 288.0, 403.0, 18.0], Oqnxc-tRd6, 5658015]
[sub-ordered-list, [119.0, 306.0, 403.0, 18.0], Oqnxc-tRd6, 5658015]
[sub-ordered-list, [119.0, 324.0, 403.0, 18.0], Oqnxc-tRd6, 5658015]
[sub-ordered-list, [119.0, 342.0, 403.0, 18.0], Oqnxc-tRd6, 5658015]
[sub-ordered-list, [119.0, 360.0, 403.0, 18.0], Oqnxc-tRd6, 5658015]
[ordered-list, [65.0, 446.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 464.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 482.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 500.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 518.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 536.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 554.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 572.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 590.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 608.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 626.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 644.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[ordered-list, [65.0, 662.0, 468.0, 18.0], shoonya_0sFGU0HPP63Y33, 5658015]
[footnote, [78.0, 773.0, 469.0, 18.0], Bdx-IOIxj2, 5658015]
[footnote, [78.0, 791.0, 469.0, 18.0], Bdx-IOIxj2, 5658015]
