[2200, 1700]
[paragraph, [413.0, 127.0, 865.0, 36.0], xB03FAb9Oc, 5660666]
[paragraph, [413.0, 163.0, 865.0, 36.0], xB03FAb9Oc, 5660666]
[paragraph, [413.0, 199.0, 865.0, 36.0], xB03FAb9Oc, 5660666]
[paragraph, [413.0, 235.0, 865.0, 36.0], xB03FAb9Oc, 5660666]
[paragraph, [413.0, 271.0, 865.0, 36.0], xB03FAb9Oc, 5660666]
[paragraph, [413.0, 307.0, 865.0, 36.0], xB03FAb9Oc, 5660666]
[paragraph, [413.0, 343.0, 865.0, 36.0], xB03FAb9Oc, 5660666]
[paragraph, [413.0, 379.0, 865.0, 36.0], xB03FAb9Oc, 5660666]
[paragraph, [413.0, 415.0, 865.0, 36.0], xB03FAb9Oc, 5660666]
[paragraph, [414.0, 494.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 530.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 566.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 602.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 638.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 674.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 710.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 746.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 782.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 818.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 854.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 890.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 926.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [414.0, 962.0, 867.0, 36.0], shoonya_1s1QYQ6OX83WEX, 5660666]
[paragraph, [417.0, 1004.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1040.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1076.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1112.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1148.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1184.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1220.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1256.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1292.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1328.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1364.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1400.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1436.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1472.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1508.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1544.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1580.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
[paragraph, [417.0, 1616.0, 863.0, 36.0], shoonya_0sQ5ITL081W9VI, 5660666]
