[1754, 1241]
[paragraph, [161.0, 105.0, 926.0, 36.0], OfOTkOKAKH, 6476779]
[ordered-list, [170.0, 178.0, 922.0, 36.0], shoonya_0sT33ATPD6GPW5, 6476779]
[ordered-list, [170.0, 214.0, 922.0, 36.0], shoonya_0sT33ATPD6GPW5, 6476779]
[ordered-list, [170.0, 250.0, 922.0, 36.0], shoonya_0sT33ATPD6GPW5, 6476779]
[ordered-list, [170.0, 286.0, 922.0, 36.0], shoonya_0sT33ATPD6GPW5, 6476779]
[ordered-list, [140.0, 376.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 412.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 448.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 484.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 520.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 556.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 592.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 628.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 664.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 700.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 736.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 772.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 808.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 844.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 880.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 916.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 952.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 988.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1024.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1060.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1096.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1132.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1168.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1204.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1240.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1276.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1312.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1348.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1384.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1420.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1456.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1492.0, 975.0, 36.0], FP047zeHj6, 6476779]
[ordered-list, [140.0, 1528.0, 975.0, 36.0], FP047zeHj6, 6476779]
[sub-ordered-list, [177.0, 410.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 446.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 482.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 518.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 554.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 590.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 626.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 662.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 698.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 734.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 770.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 806.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [177.0, 842.0, 923.0, 36.0], shoonya_16sZFFFE1UAB6N, 6476779]
[sub-ordered-list, [178.0, 953.0, 875.0, 36.0], shoonya_13sSMB0SFKLXH4, 6476779]
[sub-ordered-list, [178.0, 989.0, 875.0, 36.0], shoonya_13sSMB0SFKLXH4, 6476779]
[sub-ordered-list, [178.0, 1025.0, 875.0, 36.0], shoonya_13sSMB0SFKLXH4, 6476779]
[sub-ordered-list, [178.0, 1061.0, 875.0, 36.0], shoonya_13sSMB0SFKLXH4, 6476779]
[sub-ordered-list, [178.0, 1097.0, 875.0, 36.0], shoonya_13sSMB0SFKLXH4, 6476779]
[sub-ordered-list, [178.0, 1133.0, 875.0, 36.0], shoonya_13sSMB0SFKLXH4, 6476779]
[sub-ordered-list, [178.0, 1169.0, 875.0, 36.0], shoonya_13sSMB0SFKLXH4, 6476779]
[subsub-ordered-list, [211.0, 1040.0, 843.0, 18.0], LleRzK5i9C, 6476779]
[subsub-ordered-list, [211.0, 1058.0, 843.0, 18.0], LleRzK5i9C, 6476779]
[subsub-ordered-list, [211.0, 1076.0, 843.0, 18.0], LleRzK5i9C, 6476779]
[subsub-ordered-list, [211.0, 1094.0, 843.0, 18.0], LleRzK5i9C, 6476779]
[subsub-ordered-list, [211.0, 1112.0, 843.0, 18.0], LleRzK5i9C, 6476779]
[subsub-ordered-list, [211.0, 1130.0, 843.0, 18.0], LleRzK5i9C, 6476779]
[subsub-ordered-list, [211.0, 1148.0, 843.0, 18.0], LleRzK5i9C, 6476779]
[subsub-ordered-list, [211.0, 1166.0, 843.0, 18.0], LleRzK5i9C, 6476779]
