[1755, 1241]
[section-title, [433.0, 98.0, 355.0, 49.5], shoonya_0sGY7JM2OZC7L5, 5781146]
[folio, [514.0, 166.0, 193.0, 36.0], CmV_gtbyLY, 5781146]
[sub-section-title, [105.0, 194.0, 210.0, 36.0], i-lAjy11Js, 5781146]
[paragraph, [95.0, 250.0, 1055.0, 36.0], Pe7B72AooY, 5781146]
[paragraph, [95.0, 286.0, 1055.0, 36.0], Pe7B72AooY, 5781146]
[paragraph, [95.0, 322.0, 1055.0, 36.0], Pe7B72AooY, 5781146]
[paragraph, [95.0, 358.0, 1055.0, 36.0], Pe7B72AooY, 5781146]
[paragraph, [95.0, 394.0, 1055.0, 36.0], Pe7B72AooY, 5781146]
[unordered-list, [149.0, 523.0, 961.0, 36.0], O-f8DvjvT1, 5781146]
[unordered-list, [149.0, 559.0, 961.0, 36.0], O-f8DvjvT1, 5781146]
[unordered-list, [139.0, 666.0, 662.0, 36.0], AF5f9FqfoT, 5781146]
[unordered-list, [139.0, 702.0, 662.0, 36.0], AF5f9FqfoT, 5781146]
[unordered-list, [138.0, 828.0, 797.0, 36.0], sxBBMUPHo3, 5781146]
[unordered-list, [138.0, 864.0, 797.0, 36.0], sxBBMUPHo3, 5781146]
[unordered-list, [138.0, 900.0, 797.0, 36.0], sxBBMUPHo3, 5781146]
[unordered-list, [138.0, 936.0, 797.0, 36.0], sxBBMUPHo3, 5781146]
[unordered-list, [138.0, 972.0, 797.0, 36.0], sxBBMUPHo3, 5781146]
[unordered-list, [138.0, 1008.0, 797.0, 36.0], sxBBMUPHo3, 5781146]
[unordered-list, [138.0, 1044.0, 797.0, 36.0], sxBBMUPHo3, 5781146]
[unordered-list, [138.0, 1080.0, 797.0, 36.0], sxBBMUPHo3, 5781146]
[unordered-list, [138.0, 1116.0, 797.0, 36.0], sxBBMUPHo3, 5781146]
[unordered-list, [138.0, 1152.0, 797.0, 36.0], sxBBMUPHo3, 5781146]
[sub-unordered-list, [198.0, 876.0, 728.0, 18.0], 3qFui05McB, 5781146]
[sub-unordered-list, [198.0, 894.0, 728.0, 18.0], 3qFui05McB, 5781146]
[sub-unordered-list, [198.0, 912.0, 728.0, 18.0], 3qFui05McB, 5781146]
[sub-unordered-list, [198.0, 930.0, 728.0, 18.0], 3qFui05McB, 5781146]
[sub-unordered-list, [198.0, 948.0, 728.0, 18.0], 3qFui05McB, 5781146]
[sub-unordered-list, [193.0, 1041.0, 734.0, 18.0], d57tf4S0Vd, 5781146]
[sub-unordered-list, [193.0, 1059.0, 734.0, 18.0], d57tf4S0Vd, 5781146]
[sub-unordered-list, [207.0, 1149.0, 718.0, 18.0], uNrVRQcALi, 5781146]
[sub-unordered-list, [207.0, 1167.0, 718.0, 18.0], uNrVRQcALi, 5781146]
[unordered-list, [101.0, 1238.0, 1025.0, 36.0], fBV7cG1Tem, 5781146]
[unordered-list, [101.0, 1274.0, 1025.0, 36.0], fBV7cG1Tem, 5781146]
[unordered-list, [101.0, 1310.0, 1025.0, 36.0], fBV7cG1Tem, 5781146]
[unordered-list, [121.0, 1407.0, 215.0, 36.0], oBfwi_anxx, 5781146]
[unordered-list, [121.0, 1443.0, 215.0, 36.0], oBfwi_anxx, 5781146]
[unordered-list, [121.0, 1479.0, 215.0, 36.0], oBfwi_anxx, 5781146]
