[766, 567]
[sidebar, [35.0, 58.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 76.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 94.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 112.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 130.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 148.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 166.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 184.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 202.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 220.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 238.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[sidebar, [35.0, 256.0, 199.0, 18.0], shoonya_8sYVN9ZCV43908, 5772206]
[headline, [279.0, 264.0, 222.0, 25.5], shoonya_5s4UMNI4ZSOW6S, 5772206]
[headline, [279.0, 289.5, 222.0, 25.5], shoonya_5s4UMNI4ZSOW6S, 5772206]
[paragraph, [30.0, 282.0, 206.0, 18.0], shoonya_1sGSBWXUY4DG2M, 5772206]
[paragraph, [30.0, 300.0, 206.0, 18.0], shoonya_1sGSBWXUY4DG2M, 5772206]
[paragraph, [30.0, 318.0, 206.0, 18.0], shoonya_1sGSBWXUY4DG2M, 5772206]
[paragraph, [30.0, 336.0, 206.0, 18.0], shoonya_1sGSBWXUY4DG2M, 5772206]
[paragraph, [30.0, 354.0, 206.0, 18.0], shoonya_1sGSBWXUY4DG2M, 5772206]
[paragraph, [30.0, 372.0, 206.0, 18.0], shoonya_1sGSBWXUY4DG2M, 5772206]
[paragraph, [30.0, 390.0, 206.0, 18.0], shoonya_1sGSBWXUY4DG2M, 5772206]
[paragraph, [30.0, 408.0, 206.0, 18.0], shoonya_1sGSBWXUY4DG2M, 5772206]
[paragraph, [30.0, 426.0, 206.0, 18.0], shoonya_1sGSBWXUY4DG2M, 5772206]
[paragraph, [261.0, 322.0, 260.0, 18.0], shoonya_6s9UPJE1FVQEJA, 5772206]
[paragraph, [261.0, 340.0, 260.0, 18.0], shoonya_6s9UPJE1FVQEJA, 5772206]
[paragraph, [261.0, 358.0, 260.0, 18.0], shoonya_6s9UPJE1FVQEJA, 5772206]
[paragraph, [261.0, 376.0, 260.0, 18.0], shoonya_6s9UPJE1FVQEJA, 5772206]
[paragraph, [261.0, 394.0, 260.0, 18.0], shoonya_6s9UPJE1FVQEJA, 5772206]
[paragraph, [261.0, 412.0, 260.0, 18.0], shoonya_6s9UPJE1FVQEJA, 5772206]
[paragraph, [261.0, 430.0, 260.0, 18.0], shoonya_6s9UPJE1FVQEJA, 5772206]
[paragraph, [261.0, 448.0, 260.0, 18.0], shoonya_6s9UPJE1FVQEJA, 5772206]
[paragraph, [29.0, 449.0, 210.0, 18.0], shoonya_3s4R68Z84H4SEU, 5772206]
[paragraph, [29.0, 467.0, 210.0, 18.0], shoonya_3s4R68Z84H4SEU, 5772206]
[paragraph, [29.0, 485.0, 210.0, 18.0], shoonya_3s4R68Z84H4SEU, 5772206]
[paragraph, [29.0, 503.0, 210.0, 18.0], shoonya_3s4R68Z84H4SEU, 5772206]
[paragraph, [260.0, 480.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [260.0, 498.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [260.0, 516.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [260.0, 534.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [260.0, 552.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [260.0, 570.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [260.0, 588.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [260.0, 606.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [260.0, 624.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [260.0, 642.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [260.0, 660.0, 263.0, 18.0], shoonya_7sA7WEIFH434VT, 5772206]
[paragraph, [27.0, 519.0, 222.0, 18.0], XgqUwfTb9O, 5772206]
[paragraph, [27.0, 537.0, 222.0, 18.0], XgqUwfTb9O, 5772206]
[paragraph, [27.0, 555.0, 222.0, 18.0], XgqUwfTb9O, 5772206]
[paragraph, [27.0, 573.0, 222.0, 18.0], XgqUwfTb9O, 5772206]
[paragraph, [27.0, 591.0, 222.0, 18.0], XgqUwfTb9O, 5772206]
[paragraph, [27.0, 609.0, 222.0, 18.0], XgqUwfTb9O, 5772206]
[paragraph, [27.0, 627.0, 222.0, 18.0], XgqUwfTb9O, 5772206]
[paragraph, [27.0, 645.0, 222.0, 18.0], XgqUwfTb9O, 5772206]
