[2200, 1700]
[paragraph, [365.0, 112.0, 1135.0, 36.0], EJt-gUIm90, 5733924]
[paragraph, [365.0, 148.0, 1135.0, 36.0], EJt-gUIm90, 5733924]
[paragraph, [365.0, 184.0, 1135.0, 36.0], EJt-gUIm90, 5733924]
[paragraph, [374.0, 228.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 264.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 300.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 336.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 372.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 408.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 444.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 480.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 516.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 552.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 588.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [374.0, 624.0, 1128.0, 36.0], shoonya_2sV7BYCPA1MQ44, 5733924]
[paragraph, [373.0, 692.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 728.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 764.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 800.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 836.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 872.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 908.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 944.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 980.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 1016.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 1052.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 1088.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 1124.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 1160.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 1196.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [373.0, 1232.0, 1130.0, 36.0], shoonya_0sTRBG4240BLXJ, 5733924]
[paragraph, [371.0, 1325.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1361.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1397.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1433.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1469.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1505.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1541.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1577.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1613.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1649.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1685.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1721.0, 1134.0, 36.0], shoonya_1s3DJ9OS26SCA2, 5733924]
[paragraph, [371.0, 1794.0, 1135.0, 36.0], shoonya_3s7WSUXZL4RKNO, 5733924]
[paragraph, [371.0, 1830.0, 1135.0, 36.0], shoonya_3s7WSUXZL4RKNO, 5733924]
[paragraph, [371.0, 1866.0, 1135.0, 36.0], shoonya_3s7WSUXZL4RKNO, 5733924]
[paragraph, [371.0, 1902.0, 1135.0, 36.0], shoonya_3s7WSUXZL4RKNO, 5733924]
[paragraph, [371.0, 1938.0, 1135.0, 36.0], shoonya_3s7WSUXZL4RKNO, 5733924]
[paragraph, [371.0, 1974.0, 1135.0, 36.0], shoonya_3s7WSUXZL4RKNO, 5733924]
[paragraph, [371.0, 2010.0, 1135.0, 36.0], shoonya_3s7WSUXZL4RKNO, 5733924]
