[3300, 2550]
[paragraph, [253.0, 273.0, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 325.5, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 378.0, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 430.5, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 483.0, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 535.5, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 588.0, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 640.5, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 693.0, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 745.5, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 798.0, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [253.0, 850.5, 2044.0, 52.5], shoonya_1sVCVLUTXS1QAP, 5720731]
[paragraph, [274.0, 976.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1028.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1081.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1133.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1186.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1238.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1291.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1343.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1396.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1448.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1501.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1553.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1606.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1658.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1711.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1763.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1816.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1868.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1921.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 1973.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2026.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2078.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2131.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2183.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2236.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2288.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2341.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2393.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2446.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2498.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2551.0, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [274.0, 2603.5, 2007.0, 52.5], pk0nTDjDCf, 5720731]
[paragraph, [258.0, 2709.0, 2032.0, 52.5], lByANRVhmL, 5720731]
[paragraph, [258.0, 2761.5, 2032.0, 52.5], lByANRVhmL, 5720731]
[paragraph, [258.0, 2814.0, 2032.0, 52.5], lByANRVhmL, 5720731]
[paragraph, [258.0, 2866.5, 2032.0, 52.5], lByANRVhmL, 5720731]
