[1650, 1275]
[paragraph, [143.0, 151.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 187.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 223.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 259.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 295.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 331.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 367.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 403.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 439.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 475.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 511.0, 993.0, 36.0], shoonya_3sQI4QS1YWFXAE, 5703725]
[paragraph, [143.0, 615.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 651.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 687.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 723.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 759.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 795.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 831.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 867.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 903.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 939.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 975.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 1011.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 1047.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 1083.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 1119.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [143.0, 1155.0, 995.0, 36.0], shoonya_0sJ3BUEQ1RMDYA, 5703725]
[paragraph, [142.0, 1263.0, 993.0, 36.0], shoonya_1sKNS7LTMP01VM, 5703725]
[paragraph, [142.0, 1299.0, 993.0, 36.0], shoonya_1sKNS7LTMP01VM, 5703725]
[paragraph, [142.0, 1335.0, 993.0, 36.0], shoonya_1sKNS7LTMP01VM, 5703725]
[paragraph, [142.0, 1371.0, 993.0, 36.0], shoonya_1sKNS7LTMP01VM, 5703725]
[paragraph, [142.0, 1407.0, 993.0, 36.0], shoonya_1sKNS7LTMP01VM, 5703725]
[paragraph, [142.0, 1443.0, 993.0, 36.0], shoonya_1sKNS7LTMP01VM, 5703725]
