[2339, 1654]
[section-title, [577.0, 88.0, 463.0, 52.5], shoonya_3sXEI81ELYDGCF, 5751469]
[paragraph, [167.0, 227.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 263.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 299.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 335.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 371.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 407.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 443.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 479.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 515.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 551.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 587.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 623.0, 1270.0, 36.0], shoonya_0sR07VO485R9HN, 5751469]
[paragraph, [167.0, 702.0, 1269.0, 36.0], shoonya_1s92LLWE7ECF88, 5751469]
[paragraph, [167.0, 738.0, 1269.0, 36.0], shoonya_1s92LLWE7ECF88, 5751469]
[paragraph, [167.0, 774.0, 1269.0, 36.0], shoonya_1s92LLWE7ECF88, 5751469]
[paragraph, [167.0, 810.0, 1269.0, 36.0], shoonya_1s92LLWE7ECF88, 5751469]
[paragraph, [167.0, 846.0, 1269.0, 36.0], shoonya_1s92LLWE7ECF88, 5751469]
[paragraph, [167.0, 882.0, 1269.0, 36.0], shoonya_1s92LLWE7ECF88, 5751469]
[contact-info, [843.0, 982.0, 607.0, 36.0], iETNYx9DvQ, 5751469]
[contact-info, [843.0, 1018.0, 607.0, 36.0], iETNYx9DvQ, 5751469]
[contact-info, [843.0, 1054.0, 607.0, 36.0], iETNYx9DvQ, 5751469]
[contact-info, [843.0, 1090.0, 607.0, 36.0], iETNYx9DvQ, 5751469]
[contact-info, [843.0, 1126.0, 607.0, 36.0], iETNYx9DvQ, 5751469]
[contact-info, [843.0, 1162.0, 607.0, 36.0], iETNYx9DvQ, 5751469]
[contact-info, [843.0, 1198.0, 607.0, 36.0], iETNYx9DvQ, 5751469]
[footnote, [157.0, 1319.0, 1265.0, 36.0], shoonya_2sRPRW0BX3RYNO, 5751469]
[footnote, [157.0, 1355.0, 1265.0, 36.0], shoonya_2sRPRW0BX3RYNO, 5751469]
[footnote, [157.0, 1391.0, 1265.0, 36.0], shoonya_2sRPRW0BX3RYNO, 5751469]
