[1074, 720]
[paragraph, [62.0, 115.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 133.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 151.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 169.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 187.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 205.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 223.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 241.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 259.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 277.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 295.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 313.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 331.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 349.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 367.0, 599.0, 18.0], shoonya_1s9OVJC31ZL9PB, 5711403]
[paragraph, [62.0, 397.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 415.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 433.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 451.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 469.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 487.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 505.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 523.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 541.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 559.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 577.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 595.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 613.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 631.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 649.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 667.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [62.0, 685.0, 600.0, 18.0], shoonya_0s9CXDU8VA8MB8, 5711403]
[paragraph, [63.0, 711.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 729.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 747.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 765.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 783.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 801.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 819.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 837.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 855.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 873.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 891.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 909.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 927.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 945.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 963.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
[paragraph, [63.0, 981.0, 598.0, 18.0], shoonya_2sC2A54K6G8XEH, 5711403]
