[3020, 1800]
[paragraph, [970.0, 590.0, 698.0, 52.5], kBUfzhCErJ, 5693818]
[paragraph, [970.0, 642.5, 698.0, 52.5], kBUfzhCErJ, 5693818]
[paragraph, [970.0, 695.0, 698.0, 52.5], kBUfzhCErJ, 5693818]
[paragraph, [235.0, 599.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 651.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 704.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 756.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 809.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 861.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 914.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 966.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1019.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1071.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1124.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1176.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1229.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1281.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1334.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1386.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1439.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1491.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1544.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1596.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1649.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1701.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1754.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1806.5, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [235.0, 1859.0, 692.0, 52.5], shoonya_0sOM9PCG9P8R4Z, 5693818]
[paragraph, [966.0, 862.0, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [966.0, 914.5, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [966.0, 967.0, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [966.0, 1019.5, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [966.0, 1072.0, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [966.0, 1124.5, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [966.0, 1177.0, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [966.0, 1229.5, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [966.0, 1282.0, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [966.0, 1334.5, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [966.0, 1387.0, 738.0, 52.5], kVY3lq_dNf, 5693818]
[paragraph, [955.0, 1461.0, 729.0, 52.5], XKlVy9DQnb, 5693818]
[paragraph, [955.0, 1513.5, 729.0, 52.5], XKlVy9DQnb, 5693818]
[paragraph, [955.0, 1566.0, 729.0, 52.5], XKlVy9DQnb, 5693818]
[paragraph, [955.0, 1618.5, 729.0, 52.5], XKlVy9DQnb, 5693818]
[paragraph, [955.0, 1671.0, 729.0, 52.5], XKlVy9DQnb, 5693818]
[paragraph, [955.0, 1723.5, 729.0, 52.5], XKlVy9DQnb, 5693818]
[paragraph, [955.0, 1776.0, 729.0, 52.5], XKlVy9DQnb, 5693818]
[paragraph, [955.0, 1828.5, 729.0, 52.5], XKlVy9DQnb, 5693818]
[paragraph, [955.0, 1881.0, 729.0, 52.5], XKlVy9DQnb, 5693818]
