[792, 612]
[paragraph, [64.0, 71.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 89.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 107.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 125.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 143.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 161.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 179.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 197.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 215.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 233.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 251.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 269.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 287.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 305.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 323.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 341.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 359.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 377.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [64.0, 395.0, 478.0, 18.0], Du1UEz4KWG, 5760742]
[paragraph, [66.0, 422.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 440.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 458.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 476.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 494.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 512.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 530.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 548.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 566.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 584.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 602.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 620.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 638.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 656.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 674.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
[paragraph, [66.0, 692.0, 477.0, 18.0], shoonya_0sIRWHJEIJ85CG, 5760742]
