[792, 612]
[folio, [64.0, 32.0, 55.0, 18.0], -y9nPtFMEJ, 6516288]
[headline, [43.0, 90.0, 367.0, 25.5], QYJnr03D5R, 6516288]
[headline, [43.0, 115.5, 367.0, 25.5], QYJnr03D5R, 6516288]
[headline, [43.0, 141.0, 367.0, 25.5], QYJnr03D5R, 6516288]
[author, [48.0, 191.0, 96.0, 18.0], hRDT6Ei3A2, 6516288]
[paragraph, [391.0, 201.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [391.0, 219.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [391.0, 237.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [391.0, 255.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [391.0, 273.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [391.0, 291.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [391.0, 309.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [391.0, 327.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [391.0, 345.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [391.0, 363.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [391.0, 381.0, 166.0, 18.0], 4KS_rsYC6y, 6516288]
[paragraph, [225.0, 204.0, 162.0, 18.0], jjvgcpbr0B, 6516288]
[paragraph, [225.0, 222.0, 162.0, 18.0], jjvgcpbr0B, 6516288]
[paragraph, [225.0, 240.0, 162.0, 18.0], jjvgcpbr0B, 6516288]
[paragraph, [225.0, 258.0, 162.0, 18.0], jjvgcpbr0B, 6516288]
[paragraph, [225.0, 276.0, 162.0, 18.0], jjvgcpbr0B, 6516288]
[paragraph, [225.0, 294.0, 162.0, 18.0], jjvgcpbr0B, 6516288]
[paragraph, [225.0, 312.0, 162.0, 18.0], jjvgcpbr0B, 6516288]
[paragraph, [225.0, 330.0, 162.0, 18.0], jjvgcpbr0B, 6516288]
[paragraph, [225.0, 348.0, 162.0, 18.0], jjvgcpbr0B, 6516288]
[paragraph, [53.0, 229.0, 166.0, 18.0], xagJQ_vrPc, 6516288]
[paragraph, [53.0, 247.0, 166.0, 18.0], xagJQ_vrPc, 6516288]
[paragraph, [53.0, 265.0, 166.0, 18.0], xagJQ_vrPc, 6516288]
[paragraph, [53.0, 283.0, 166.0, 18.0], xagJQ_vrPc, 6516288]
[paragraph, [53.0, 301.0, 166.0, 18.0], xagJQ_vrPc, 6516288]
[paragraph, [53.0, 319.0, 166.0, 18.0], xagJQ_vrPc, 6516288]
[paragraph, [53.0, 337.0, 166.0, 18.0], xagJQ_vrPc, 6516288]
[paragraph, [53.0, 355.0, 166.0, 18.0], xagJQ_vrPc, 6516288]
[paragraph, [53.0, 373.0, 166.0, 18.0], xagJQ_vrPc, 6516288]
[paragraph, [53.0, 391.0, 166.0, 18.0], xagJQ_vrPc, 6516288]
