[1823, 1375]
[headline, [552.0, 171.0, 275.0, 37.5], FkqYucOnYX, 5684316]
[paragraph, [95.0, 329.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 365.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 401.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 437.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 473.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 509.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 545.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 581.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 617.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 653.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 689.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 725.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 761.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 797.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 833.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 869.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 905.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 941.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 977.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1013.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1049.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1085.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1121.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1157.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1193.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1229.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1265.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1301.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1337.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1373.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1409.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1445.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1481.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1517.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1553.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1589.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1625.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [95.0, 1661.0, 588.0, 36.0], shoonya_2sD2GII8IO21RH, 5684316]
[paragraph, [693.0, 333.0, 581.0, 36.0], shoonya_1sM0D0ULJO6X4F, 5684316]
[paragraph, [693.0, 369.0, 581.0, 36.0], shoonya_1sM0D0ULJO6X4F, 5684316]
