[1787, 1218]
[paragraph, [102.0, 100.0, 1001.0, 36.0], shoonya_0sCMSUO227VNDW, 5652379]
[paragraph, [102.0, 136.0, 1001.0, 36.0], shoonya_0sCMSUO227VNDW, 5652379]
[paragraph, [102.0, 172.0, 1001.0, 36.0], shoonya_0sCMSUO227VNDW, 5652379]
[paragraph, [102.0, 208.0, 1001.0, 36.0], shoonya_0sCMSUO227VNDW, 5652379]
[paragraph, [336.0, 255.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 291.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 327.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 363.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 399.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 435.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 471.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 507.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 543.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 579.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 615.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 651.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [336.0, 687.0, 538.0, 36.0], eV3b1Dvevr, 5652379]
[paragraph, [106.0, 742.0, 1000.0, 36.0], shoonya_2sFEUNDXUJ8RY6, 5652379]
[paragraph, [106.0, 778.0, 1000.0, 36.0], shoonya_2sFEUNDXUJ8RY6, 5652379]
[paragraph, [106.0, 814.0, 1000.0, 36.0], shoonya_2sFEUNDXUJ8RY6, 5652379]
[paragraph, [106.0, 850.0, 1000.0, 36.0], shoonya_2sFEUNDXUJ8RY6, 5652379]
[paragraph, [299.0, 909.0, 549.0, 36.0], zF1SpdJ2hm, 5652379]
[paragraph, [299.0, 945.0, 549.0, 36.0], zF1SpdJ2hm, 5652379]
[paragraph, [299.0, 981.0, 549.0, 36.0], zF1SpdJ2hm, 5652379]
[paragraph, [299.0, 1017.0, 549.0, 36.0], zF1SpdJ2hm, 5652379]
[paragraph, [299.0, 1053.0, 549.0, 36.0], zF1SpdJ2hm, 5652379]
[paragraph, [299.0, 1089.0, 549.0, 36.0], zF1SpdJ2hm, 5652379]
[paragraph, [299.0, 1125.0, 549.0, 36.0], zF1SpdJ2hm, 5652379]
[paragraph, [299.0, 1161.0, 549.0, 36.0], zF1SpdJ2hm, 5652379]
[paragraph, [109.0, 1206.0, 1004.0, 36.0], shoonya_3s652GLUJ0BRNS, 5652379]
[paragraph, [109.0, 1242.0, 1004.0, 36.0], shoonya_3s652GLUJ0BRNS, 5652379]
[paragraph, [109.0, 1278.0, 1004.0, 36.0], shoonya_3s652GLUJ0BRNS, 5652379]
[paragraph, [109.0, 1314.0, 1004.0, 36.0], shoonya_3s652GLUJ0BRNS, 5652379]
[paragraph, [302.0, 1372.0, 412.0, 36.0], 2lrDyRXyEI, 5652379]
[paragraph, [302.0, 1408.0, 412.0, 36.0], 2lrDyRXyEI, 5652379]
[paragraph, [302.0, 1444.0, 412.0, 36.0], 2lrDyRXyEI, 5652379]
[paragraph, [302.0, 1480.0, 412.0, 36.0], 2lrDyRXyEI, 5652379]
[paragraph, [302.0, 1516.0, 412.0, 36.0], 2lrDyRXyEI, 5652379]
[paragraph, [302.0, 1552.0, 412.0, 36.0], 2lrDyRXyEI, 5652379]
[paragraph, [302.0, 1588.0, 412.0, 36.0], 2lrDyRXyEI, 5652379]
[footnote, [458.0, 1654.0, 234.0, 36.0], 6_UbwK3Xmm, 5652379]
