[1755, 1241]
[folio, [179.0, 197.0, 273.0, 36.0], JpdQtE2w0r, 5760654]
[paragraph, [175.0, 271.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 307.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 343.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 379.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 415.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 451.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 487.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 523.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 559.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 595.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 631.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 667.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 703.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 739.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [175.0, 775.0, 865.0, 36.0], tMwHQfTJkL, 5760654]
[paragraph, [176.0, 830.0, 860.0, 36.0], fD-9q4ihqk, 5760654]
[paragraph, [176.0, 866.0, 860.0, 36.0], fD-9q4ihqk, 5760654]
[paragraph, [176.0, 902.0, 860.0, 36.0], fD-9q4ihqk, 5760654]
[paragraph, [176.0, 938.0, 860.0, 36.0], fD-9q4ihqk, 5760654]
[paragraph, [176.0, 974.0, 860.0, 36.0], fD-9q4ihqk, 5760654]
[paragraph, [176.0, 1010.0, 860.0, 36.0], fD-9q4ihqk, 5760654]
[paragraph, [176.0, 1046.0, 860.0, 36.0], fD-9q4ihqk, 5760654]
[paragraph, [176.0, 1082.0, 860.0, 36.0], fD-9q4ihqk, 5760654]
[paragraph, [176.0, 1118.0, 860.0, 36.0], fD-9q4ihqk, 5760654]
[paragraph, [176.0, 1154.0, 860.0, 36.0], fD-9q4ihqk, 5760654]
[paragraph, [172.0, 1207.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
[paragraph, [172.0, 1243.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
[paragraph, [172.0, 1279.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
[paragraph, [172.0, 1315.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
[paragraph, [172.0, 1351.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
[paragraph, [172.0, 1387.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
[paragraph, [172.0, 1423.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
[paragraph, [172.0, 1459.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
[paragraph, [172.0, 1495.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
[paragraph, [172.0, 1531.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
[paragraph, [172.0, 1567.0, 860.0, 36.0], 7ZGhoCTGH-, 5760654]
