[1754, 1241]
[paragraph, [211.0, 146.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [211.0, 182.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [211.0, 218.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [211.0, 254.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [211.0, 290.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [211.0, 326.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [211.0, 362.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [211.0, 398.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [211.0, 434.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [211.0, 470.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [211.0, 506.0, 887.0, 36.0], shoonya_0sKXRALIZJ70PS, 6470722]
[paragraph, [210.0, 605.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 641.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 677.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 713.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 749.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 785.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 821.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 857.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 893.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 929.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 965.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1001.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1037.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1073.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1109.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1145.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1181.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1217.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1253.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1289.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1325.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1361.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1397.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[paragraph, [210.0, 1433.0, 889.0, 36.0], Dc8cUJWr9g, 6470722]
[footnote, [215.0, 1564.0, 432.0, 36.0], JV-QT-Ruf6, 6470722]
