[3300, 2550]
[ordered-list, [267.0, 411.0, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 463.5, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 516.0, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 568.5, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 621.0, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 673.5, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 726.0, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 778.5, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 831.0, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 883.5, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 936.0, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 988.5, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 1041.0, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 1093.5, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 1146.0, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 1198.5, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 1251.0, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[ordered-list, [267.0, 1303.5, 2030.0, 52.5], Ksyi36y_Ur, 5720359]
[paragraph, [270.0, 1399.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1451.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1504.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1556.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1609.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1661.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1714.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1766.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1819.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1871.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1924.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 1976.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2029.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2081.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2134.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2186.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2239.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2291.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2344.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2396.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2449.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2501.5, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [270.0, 2554.0, 2001.0, 52.5], I9Pc_Vw1We, 5720359]
[paragraph, [277.0, 2675.0, 2008.0, 52.5], jWDqqJtC6H, 5720359]
[paragraph, [277.0, 2727.5, 2008.0, 52.5], jWDqqJtC6H, 5720359]
[paragraph, [277.0, 2780.0, 2008.0, 52.5], jWDqqJtC6H, 5720359]
[paragraph, [277.0, 2832.5, 2008.0, 52.5], jWDqqJtC6H, 5720359]
[paragraph, [277.0, 2885.0, 2008.0, 52.5], jWDqqJtC6H, 5720359]
