[920, 612]
[section-title, [125.0, 25.0, 308.0, 30.0], RtebnMRlkA, 6460092]
[paragraph, [98.0, 89.0, 240.0, 18.0], shoonya_0sJ8PI7Q6UKA8Y, 6460092]
[paragraph, [98.0, 107.0, 240.0, 18.0], shoonya_0sJ8PI7Q6UKA8Y, 6460092]
[paragraph, [37.0, 121.0, 481.0, 18.0], 39VUsdGF0g, 6460092]
[paragraph, [37.0, 139.0, 481.0, 18.0], 39VUsdGF0g, 6460092]
[paragraph, [37.0, 157.0, 481.0, 18.0], 39VUsdGF0g, 6460092]
[paragraph, [35.0, 190.0, 484.0, 18.0], 2lBl4uDf6S, 6460092]
[paragraph, [35.0, 208.0, 484.0, 18.0], 2lBl4uDf6S, 6460092]
[paragraph, [35.0, 226.0, 484.0, 18.0], 2lBl4uDf6S, 6460092]
[paragraph, [35.0, 244.0, 484.0, 18.0], 2lBl4uDf6S, 6460092]
[paragraph, [29.0, 265.0, 490.0, 18.0], 8dJ1nmUwlE, 6460092]
[paragraph, [29.0, 283.0, 490.0, 18.0], 8dJ1nmUwlE, 6460092]
[paragraph, [29.0, 301.0, 490.0, 18.0], 8dJ1nmUwlE, 6460092]
[paragraph, [93.0, 327.0, 338.0, 18.0], J12AjZ-NL-, 6460092]
[paragraph, [93.0, 345.0, 338.0, 18.0], J12AjZ-NL-, 6460092]
[paragraph, [34.0, 366.0, 493.0, 18.0], 4A2Lf0DQiy, 6460092]
[paragraph, [34.0, 384.0, 493.0, 18.0], 4A2Lf0DQiy, 6460092]
[paragraph, [34.0, 402.0, 493.0, 18.0], 4A2Lf0DQiy, 6460092]
[paragraph, [34.0, 420.0, 493.0, 18.0], 4A2Lf0DQiy, 6460092]
[paragraph, [34.0, 438.0, 493.0, 18.0], 4A2Lf0DQiy, 6460092]
[paragraph, [34.0, 456.0, 493.0, 18.0], 4A2Lf0DQiy, 6460092]
[paragraph, [34.0, 474.0, 493.0, 18.0], 4A2Lf0DQiy, 6460092]
[section-title, [223.0, 497.0, 111.0, 30.0], wKGlcQBrUv, 6460092]
[paragraph, [38.0, 531.0, 480.0, 18.0], gSZp0FX6zf, 6460092]
[paragraph, [38.0, 549.0, 480.0, 18.0], gSZp0FX6zf, 6460092]
[paragraph, [38.0, 567.0, 480.0, 18.0], gSZp0FX6zf, 6460092]
[paragraph, [38.0, 585.0, 480.0, 18.0], gSZp0FX6zf, 6460092]
[paragraph, [38.0, 603.0, 480.0, 18.0], gSZp0FX6zf, 6460092]
[paragraph, [38.0, 621.0, 480.0, 18.0], gSZp0FX6zf, 6460092]
[paragraph, [38.0, 639.0, 480.0, 18.0], gSZp0FX6zf, 6460092]
[paragraph, [38.0, 657.0, 480.0, 18.0], gSZp0FX6zf, 6460092]
[paragraph, [42.0, 675.0, 484.0, 18.0], Axc7Ed12sw, 6460092]
[paragraph, [42.0, 693.0, 484.0, 18.0], Axc7Ed12sw, 6460092]
[paragraph, [42.0, 711.0, 484.0, 18.0], Axc7Ed12sw, 6460092]
[paragraph, [42.0, 729.0, 484.0, 18.0], Axc7Ed12sw, 6460092]
[paragraph, [42.0, 747.0, 484.0, 18.0], Axc7Ed12sw, 6460092]
[paragraph, [35.0, 775.0, 491.0, 18.0], vQYhQcIhoY, 6460092]
[paragraph, [35.0, 793.0, 491.0, 18.0], vQYhQcIhoY, 6460092]
[paragraph, [35.0, 811.0, 491.0, 18.0], vQYhQcIhoY, 6460092]
[paragraph, [35.0, 829.0, 491.0, 18.0], vQYhQcIhoY, 6460092]
[paragraph, [35.0, 847.0, 491.0, 18.0], vQYhQcIhoY, 6460092]
[paragraph, [35.0, 865.0, 491.0, 18.0], vQYhQcIhoY, 6460092]
