[2337, 1653]
[headline, [406.0, 133.0, 832.0, 67.5], AbnqJ0vO-L, 5752247]
[headline, [406.0, 200.5, 832.0, 67.5], AbnqJ0vO-L, 5752247]
[paragraph, [424.0, 309.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 345.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 381.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 417.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 453.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 489.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 525.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 561.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 597.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 633.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 669.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 705.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 741.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 777.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 813.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 849.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 885.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 921.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 957.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 993.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 1029.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [424.0, 1065.0, 1062.0, 36.0], paid0BW-rF, 5752247]
[paragraph, [420.0, 1170.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1206.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1242.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1278.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1314.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1350.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1386.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1422.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1458.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1494.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1530.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1566.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1602.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1638.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1674.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1710.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1746.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1782.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1818.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1854.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1890.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[paragraph, [420.0, 1926.0, 1068.0, 36.0], L6y7Srr6c-, 5752247]
[folio, [412.0, 2062.0, 720.0, 36.0], fFQPFg8GIM, 5752247]
[folio, [412.0, 2098.0, 720.0, 36.0], fFQPFg8GIM, 5752247]
