[3300, 2550]
[paragraph, [277.0, 274.0, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 326.5, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 379.0, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 431.5, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 484.0, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 536.5, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 589.0, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 641.5, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 694.0, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 746.5, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 799.0, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 851.5, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 904.0, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 956.5, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 1009.0, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 1061.5, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [277.0, 1114.0, 2004.0, 52.5], vr0YfveXp1, 5720708]
[paragraph, [280.0, 2058.0, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2110.5, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2163.0, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2215.5, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2268.0, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2320.5, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2373.0, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2425.5, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2478.0, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2530.5, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2583.0, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
[paragraph, [280.0, 2635.5, 1990.0, 52.5], shoonya_3s2TPQVS5N2W14, 5720708]
