[2097, 1516]
[folio, [1150.0, 18.0, 310.0, 36.0], EUHHuTHFW9, 5712502]
[folio, [1150.0, 54.0, 310.0, 36.0], EUHHuTHFW9, 5712502]
[folio, [1150.0, 90.0, 310.0, 36.0], EUHHuTHFW9, 5712502]
[folio, [1150.0, 126.0, 310.0, 36.0], EUHHuTHFW9, 5712502]
[headline, [0.0, 111.0, 994.0, 67.5], shoonya_7s56QSCYBGENNI, 5712502]
[headline, [0.0, 178.5, 994.0, 67.5], shoonya_7s56QSCYBGENNI, 5712502]
[headline, [0.0, 246.0, 994.0, 67.5], shoonya_7s56QSCYBGENNI, 5712502]
[folio, [1124.0, 223.0, 336.0, 36.0], oLubQGQzCy, 5712502]
[folio, [1124.0, 259.0, 336.0, 36.0], oLubQGQzCy, 5712502]
[author, [442.0, 270.0, 463.0, 36.0], agf2P1p2eS, 5712502]
[contact-info, [35.0, 327.0, 1300.0, 36.0], guH4j4Ezjc, 5712502]
[contact-info, [35.0, 363.0, 1300.0, 36.0], guH4j4Ezjc, 5712502]
[contact-info, [35.0, 399.0, 1300.0, 36.0], guH4j4Ezjc, 5712502]
[section-title, [15.0, 452.0, 359.0, 52.5], RXpZZKRwvu, 5712502]
[paragraph, [727.0, 463.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 499.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 535.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 571.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 607.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 643.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 679.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 715.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 751.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 787.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 823.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 859.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 895.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 931.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 967.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [727.0, 1003.0, 732.0, 36.0], shoonya_5s61V3YTIJLEWH, 5712502]
[paragraph, [2.0, 523.0, 729.0, 36.0], shoonya_6sVTDRGEY74ORT, 5712502]
[paragraph, [2.0, 559.0, 729.0, 36.0], shoonya_6sVTDRGEY74ORT, 5712502]
[paragraph, [2.0, 595.0, 729.0, 36.0], shoonya_6sVTDRGEY74ORT, 5712502]
[paragraph, [2.0, 631.0, 729.0, 36.0], shoonya_6sVTDRGEY74ORT, 5712502]
[paragraph, [2.0, 667.0, 729.0, 36.0], shoonya_6sVTDRGEY74ORT, 5712502]
[paragraph, [2.0, 703.0, 729.0, 36.0], shoonya_6sVTDRGEY74ORT, 5712502]
[paragraph, [2.0, 739.0, 729.0, 36.0], shoonya_6sVTDRGEY74ORT, 5712502]
[paragraph, [2.0, 775.0, 729.0, 36.0], shoonya_6sVTDRGEY74ORT, 5712502]
[paragraph, [2.0, 811.0, 729.0, 36.0], shoonya_6sVTDRGEY74ORT, 5712502]
[paragraph, [2.0, 847.0, 729.0, 36.0], shoonya_6sVTDRGEY74ORT, 5712502]
[paragraph, [0.0, 902.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 938.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 974.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1010.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1046.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1082.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1118.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1154.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1190.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1226.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1262.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1298.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1334.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [0.0, 1370.0, 737.0, 36.0], shoonya_0sE2SNJUTK2VC2, 5712502]
[paragraph, [729.0, 1043.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1079.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1115.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1151.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1187.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1223.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1259.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1295.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1331.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1367.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1403.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1439.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1475.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1511.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1547.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1583.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1619.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1655.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1691.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
[paragraph, [729.0, 1727.0, 734.0, 36.0], shoonya_3sO64T6SG0UVK4, 5712502]
